# m1_source	m2_source	ecc
3.615272671470621901e+01	3.367091642213441105e+01	4.750427189932623917e-02
4.024772908960044759e+01	3.813921084722853294e+01	1.919365988339887669e-02
4.231847191560774490e+01	3.954884256718397495e+01	1.535687585590405843e-02
5.126891294571751700e+01	3.972520491121372999e+01	1.132436982193784497e-02
3.926531758546706641e+01	3.543815851395095962e+01	2.300284020470010071e-02
5.077038399928741796e+01	4.279366381335211145e+01	3.883529296041147993e-02
4.252992044767610480e+01	3.686223757215135777e+01	5.316083012267132368e-02
5.517697518953300317e+01	3.934077028856145120e+01	7.943179690311909930e-03
4.964077305830516451e+01	3.860776962654184530e+01	3.123879667560419335e-02
4.645182475562059921e+01	3.855227648686466324e+01	3.027024309774086278e-02
4.403361349175249018e+01	3.200027956075221880e+01	3.048786751049362143e-02
4.434055440168712892e+01	4.280403609142960875e+01	2.125726824049601824e-02
5.183186017265755652e+01	3.798298701582066172e+01	3.010760932298534379e-02
4.007390759092977106e+01	2.547892182633723479e+01	2.792212193914955440e-02
4.732032312583464062e+01	2.871280127134306426e+01	2.529944441608037928e-02
4.410840544441326472e+01	3.330312505210039831e+01	4.377840877069852366e-02
5.206577078595965702e+01	3.249745377677970737e+01	8.908631381279535910e-03
4.233091280449615113e+01	3.563474029746923577e+01	1.882912168593305416e-02
4.250599266879697069e+01	3.531067387209920838e+01	6.536730281089521595e-03
4.780948286457577723e+01	3.850706399697183713e+01	1.278050909392472977e-02
4.381424362420323604e+01	2.815344562591421607e+01	1.173003998165416360e-02
4.989880670433252874e+01	3.538028876453979876e+01	1.184832864501726007e-02
5.944955793181689074e+01	3.978464230780225819e+01	1.307086929878259994e-02
4.888148679007819197e+01	3.698738676729718122e+01	2.041967945742693621e-02
4.586373715646644911e+01	3.625145593793219234e+01	1.546196730943368708e-02
4.984045222459345581e+01	4.136441709804226008e+01	3.472931904261539193e-02
4.930875370906934307e+01	3.503393677572944398e+01	3.557058281317377474e-02
4.721474800133236727e+01	3.403475901271434623e+01	1.224283726940835620e-02
