# m1_source	m2_source
3.583155648331614174e+01	3.337179386621350830e+01
4.018950453963152114e+01	3.808403659422145893e+01
4.227928785294281511e+01	3.951222299527295689e+01
5.124310254500026218e+01	3.970520598011840718e+01
3.918371334331287414e+01	3.536450817195190410e+01
5.046924753409118125e+01	4.253983999642510838e+01
4.205640460264385894e+01	3.645182407055003182e+01
5.516330979483620212e+01	3.933102696443354063e+01
4.945039250729169567e+01	3.845970246315845031e+01
4.628456323453600163e+01	3.841345928344173899e+01
4.387276854733687514e+01	3.188338969460036409e+01
4.426186563860488832e+01	4.272807410357421531e+01
5.164722893504080048e+01	3.784768710804672764e+01
3.995115179156366025e+01	2.540087389929938055e+01
4.720134323264198883e+01	2.864060721595925685e+01
4.377576504709283967e+01	3.305197190707675503e+01
5.204955047989378869e+01	3.248732968491160022e+01
4.227197973816686272e+01	3.558512963768315984e+01
4.249886356010571831e+01	3.530475156288608218e+01
4.777882493220318594e+01	3.848237126044443812e+01
4.379057722578126999e+01	2.813823845568781934e+01
4.987130726764112154e+01	3.536079054253282550e+01
5.940968351444863771e+01	3.975795767822019400e+01
4.880144458112336991e+01	3.692682084889467831e+01
4.582068702106220570e+01	3.621742839932571201e+01
4.960413167644534127e+01	4.116828601804348864e+01
4.906347109415195717e+01	3.485966314322388371e+01
4.718696579785461864e+01	3.401473220667948993e+01
4.651914539573886742e+01	2.647446329949086419e+01
4.753511703011671585e+01	4.345725693002590617e+01
4.414963497848340523e+01	3.622069766871502594e+01
4.310572236927714584e+01	2.981787715230830216e+01
4.612537389833115498e+01	4.070157297006841901e+01
4.521051046534700646e+01	3.396718935206733647e+01
4.721743082793338431e+01	3.845711408009917420e+01
4.675459313866982569e+01	3.355762408678720732e+01
4.913526874292454494e+01	3.623166642470281573e+01
5.196258702146148067e+01	4.572256438407458035e+01
4.890018906296598544e+01	4.043853584691562730e+01
5.090759802724114991e+01	3.797863968787424938e+01
5.365345453257675956e+01	4.243142280505060882e+01
4.854073683927651217e+01	3.560426250771237022e+01
4.832108075528260827e+01	3.733503853210379475e+01
6.148217713946173291e+01	4.090048586146019716e+01
4.405846698543576423e+01	3.529920863951431187e+01
5.719444909261181209e+01	3.993196385804745319e+01
3.954911669284167175e+01	3.149399358557433004e+01
4.916147816317669594e+01	4.040706690140943635e+01
4.518184092680826325e+01	3.787925064110226003e+01
5.628266727203602926e+01	3.868181190197302044e+01
5.228484139199444058e+01	3.306431424617591830e+01
4.612113637847626535e+01	2.937181466190660117e+01
5.066290709524624702e+01	3.466344289344003471e+01
4.711646543380987140e+01	3.594779041182821544e+01
4.030198852551070843e+01	3.593853227753612600e+01
3.881491468059845573e+01	2.994677330110260272e+01
4.512769246050484639e+01	4.261386085802445223e+01
3.667609050503482848e+01	2.562107362628001184e+01
3.457702049977697811e+01	2.765696768005119566e+01
4.081180968100368034e+01	3.595369315911450769e+01
4.920411331625179230e+01	4.457586979088147672e+01
4.982922766916705370e+01	3.682371925673843549e+01
5.047529860017358061e+01	3.181671081310246052e+01
