# m1_source	m2_source
4.661059160223832976e+01	4.602321806483325872e+01
4.660387361203380863e+01	3.265612385472194745e+01
4.844417305330924961e+01	2.932485763579755655e+01
4.807106849580477359e+01	3.827593209961015219e+01
4.563244499879572658e+01	4.551518446228195103e+01
4.157800035306395614e+01	3.687782492729490968e+01
4.527274750573254636e+01	3.441825765824416550e+01
4.266763431686230490e+01	1.065057491913564292e+01
4.184509130252002507e+01	3.883712818728833582e+01
4.652623043833260397e+01	4.098300658257280560e+01
2.121524788785751525e+01	2.042959986439707976e+01
3.582094463981357535e+01	3.474902100619508616e+01
2.333696147746134386e+01	1.498394559730846787e+01
4.737009266300621846e+01	2.591556148589402753e+01
4.333746670321841066e+01	4.174164451126451070e+01
4.904772764906240212e+01	3.018795750305100611e+01
4.642822443022423329e+01	4.232565276568507073e+01
4.281203726817545174e+01	4.076743783856738901e+01
4.892893007703437291e+01	2.956261163195371466e+01
4.358307797911503911e+01	2.395033627326329650e+01
4.292618004407331256e+01	2.609493038749163318e+01
2.393184259892680288e+01	2.369166672765162218e+01
4.657543234612850114e+01	4.006425606286599361e+01
4.622675108039732805e+01	1.882687364156963383e+01
4.330351691376431233e+01	1.686765186784551673e+01
4.317679354313528961e+01	4.169229707662179152e+01
4.303675007030403066e+01	4.157036896683015215e+01
3.034337017220565258e+01	1.888927569794049433e+01
4.635167176439897219e+01	3.677720553355943878e+01
4.240159011518530718e+01	4.007247646794297680e+01
4.633977396526260861e+01	2.565672963006813845e+01
3.766305412564047117e+01	2.149021509492215642e+01
3.957240828400183830e+01	3.143878699307124336e+01
3.266119169897022800e+01	3.200277735455097883e+01
4.809616380694847493e+01	4.627432664875654922e+01
4.751907629840930269e+01	4.548956238534247376e+01
3.556947915343443611e+01	3.537111742911920942e+01
4.092520608881401500e+01	4.083853713897583049e+01
2.205852985990799908e+01	2.136660548843399710e+01
4.454162855431498969e+01	1.909284541764330356e+01
4.917470300835334029e+01	4.505777880289490867e+01
4.857795149866375795e+01	3.610201023133184606e+01
2.994516692957002491e+01	2.912778904291706183e+01
3.225210219799896549e+01	1.655158554180848540e+01
4.279249688261912610e+01	2.426090537686271631e+01
4.512054637514138022e+01	3.282669520359182513e+01
4.443152780163515558e+01	1.717288639069822054e+01
4.201973504977465268e+01	2.836401785359829830e+01
2.573082641156126371e+01	1.235050428907628550e+01
4.226473833432147131e+01	3.682938013844164260e+01
2.655818109094704482e+01	2.172221830593972669e+01
4.080028793495438322e+01	1.513267910012168826e+01
4.592868275346722129e+01	4.451907531789940720e+01
3.440468952766475041e+01	1.023375636065328464e+01
4.138049034447493568e+01	3.737965974349142328e+01
4.822822323071441986e+01	2.108154040087112691e+01
2.691705930353504783e+01	2.474905439711902133e+01
4.771527920244179199e+01	2.696437774865423620e+01
4.698893745060426141e+01	3.974586197383528230e+01
4.294317735059460261e+01	4.211337150655882766e+01
3.964187874432947467e+01	3.149655688622828364e+01
4.682989892039677926e+01	3.437177442132974647e+01
2.915198288765426682e+01	2.107286527667654141e+01
4.724796099309458697e+01	2.340677239057144732e+01
3.964187874432947467e+01	3.149655688622828364e+01
1.209302331631520744e+01	1.090750277239048316e+01
4.746866639035945212e+01	2.491512391057494469e+01
4.034267994417904646e+01	2.571430048865512319e+01
4.416397002799550364e+01	1.017327311600837270e+01
4.065409628002050368e+01	4.057912494717479746e+01
4.183842753052043406e+01	3.095531466747283744e+01
4.799898260488198787e+01	2.279497910367064861e+01
3.263920662226693992e+01	2.658100675956135817e+01
4.448045500256314000e+01	3.338817426352049722e+01
2.944085156139558990e+01	2.286523669822393856e+01
4.819268901436797137e+01	4.591226651320405239e+01
4.933392756750377117e+01	4.392256283635675373e+01
4.564354759450528576e+01	4.456914236713296162e+01
3.666378078593528755e+01	2.944807699245096089e+01
3.927953254638276093e+01	3.161776143221895552e+01
3.015292962997396131e+01	1.673331403054554656e+01
4.737547187875795629e+01	2.504529531433158596e+01
1.850672011391592164e+01	1.663907932848279003e+01
3.915533453662592223e+01	3.897920784634226976e+01
4.726906452326521446e+01	3.602354758947353730e+01
4.204375081610810838e+01	3.953845471894778996e+01
4.731688021569792824e+01	2.322955905307270186e+01
4.548452779031434545e+01	3.362807912633633123e+01
3.343203771504761335e+01	3.274209692893865764e+01
4.183498592385269177e+01	3.834725867832171531e+01
3.738393748436469366e+01	2.841996693346405323e+01
3.797315925104216916e+01	2.669420048480447250e+01
4.959908331498301948e+01	4.028133526505053652e+01
3.952871096912882365e+01	2.272618579566319852e+01
4.496530883524203404e+01	2.628026909326014149e+01
3.217536082366190442e+01	2.507869137622053657e+01
4.106132048513129007e+01	2.874333375097084087e+01
3.557107012221732134e+01	2.969134379233975096e+01
3.334907339356117006e+01	2.753712441772056252e+01
4.773166931172071514e+01	2.799910105952401551e+01
