# m1_source	m2_source	ecc
4.664632295797835582e+01	4.605849914409972712e+01	1.396820989165481822e-02
4.696835747595263655e+01	3.291152387366173571e+01	4.440723365236720621e-02
4.863055543277042858e+01	2.943768104466255409e+01	3.122843860816960221e-02
4.813113759476622278e+01	3.832376129968990597e+01	1.782798656969730375e-02
4.599347612614649705e+01	4.587528785710178880e+01	4.466167009003609717e-02
4.157870553625218690e+01	3.687845039321285867e+01	2.078712533732299163e-03
4.529947030991557000e+01	3.443857346433934197e+01	1.225834713889882750e-02
4.294215184482947478e+01	1.071909921266730414e+01	4.031435934450006836e-02
4.186235903077274401e+01	3.885315465430703341e+01	1.025075993553222625e-02
4.654322378963851747e+01	4.099797531358473179e+01	9.644173762148862059e-03
2.123390149479677902e+01	2.044756268659983078e+01	1.495832892030858098e-02
3.586191995405481947e+01	3.478877015490184021e+01	1.705853842574243939e-02
2.335291326368861320e+01	1.499418774889448969e+01	1.319060893197388298e-02
4.769801188889918109e+01	2.609496182866921643e+01	4.180371668256779166e-02
4.333769431403856487e+01	4.174186374073647698e+01	1.156760206672728794e-03
4.913075274111038482e+01	3.023905789180631132e+01	2.074367828071609424e-02
4.644312456674085610e+01	4.233923627037652437e+01	9.040477172376161843e-03
4.302243505748963059e+01	4.096778753796404970e+01	3.526945912002279332e-02
4.930348984416196600e+01	2.978891874537545803e+01	4.393906865759289460e-02
4.395612479568690389e+01	2.415533778111567997e+01	4.643403149280322939e-02
4.324259929643357481e+01	2.628728242895271094e+01	4.312459207002264372e-02
2.413293513562737047e+01	2.389074113411381362e+01	4.601172666821949642e-02
4.658192257621125520e+01	4.006983896842036330e+01	5.957875532424781843e-03
4.643964884458416265e+01	1.891358099632072154e+01	3.414986594103509160e-02
4.338552611130094760e+01	1.689959621538578816e+01	2.193825722362627989e-02
4.319028745000491654e+01	4.170532703850098244e+01	8.921407154457118224e-03
4.326304503092144671e+01	4.178895343226568571e+01	3.647370731951373596e-02
3.037386000889243221e+01	1.890825615159126727e+01	1.598950598801529913e-02
4.635169682595077489e+01	3.677722541836200776e+01	3.711515607142401867e-04
4.241592155885629012e+01	4.008602068733892310e+01	9.277612463420382982e-03
4.653807621805916028e+01	2.576652272678994393e+01	3.292539452695350533e-02
3.769351406449560926e+01	2.150759527433064022e+01	1.434672799208475819e-02
3.960774780450806531e+01	3.146686291025219617e+01	1.507494802367491740e-02
3.277209122367030858e+01	3.211144126462546211e+01	2.934592237432230577e-02
4.850787030501793140e+01	4.667043809439183377e+01	4.643571461119877508e-02
4.760315078633595931e+01	4.557004609760022618e+01	2.120637974624801914e-02
3.565110957436748862e+01	3.545229261844814062e+01	2.414369978741809364e-02
4.099811867830207746e+01	4.091129531854969059e+01	2.127995353423717262e-02
2.218988765192913348e+01	2.149384289445209006e+01	3.879728617140907471e-02
4.460090208834633785e+01	1.911825311959200846e+01	1.839681024855521416e-02
4.929097651724761420e+01	4.516431785089901751e+01	2.450563673708303081e-02
4.857941266923188550e+01	3.610309613950978758e+01	2.768230952318130166e-03
3.018746931520610488e+01	2.936347758624703630e+01	4.516098210067667762e-02
3.226865791055951149e+01	1.656008183426623503e+01	1.143211317080174323e-02
4.287060877397336611e+01	2.430519036472288263e+01	2.153907113888714475e-02
4.512085141684687528e+01	3.282691713155801949e+01	1.312413373793496927e-03
4.447904983516295374e+01	1.719125376457001764e+01	1.649576912888536459e-02
4.239398432177695497e+01	2.861664231732219221e+01	4.735523301728967321e-02
2.581858743832388825e+01	1.239262858466278594e+01	2.941159029927482155e-02
4.226478670447242791e+01	3.682942228806203389e+01	5.399822288889193685e-04
2.664519536777926589e+01	2.179338820686819389e+01	2.882898692438263383e-02
4.087129604722856158e+01	1.515901575191845119e+01	2.103289885254071637e-02
4.593281784741167684e+01	4.452308350075428933e+01	4.789109851789887483e-03
3.444250768421049713e+01	1.024500546086059849e+01	1.672258701130910005e-02
4.139989354191229154e+01	3.739718696252886332e+01	1.092655560726134463e-02
4.831856710821305967e+01	2.112103155306115809e+01	2.181911350270360553e-02
2.697250903720534509e+01	2.480003799303997880e+01	2.287812034763999497e-02
4.771844822625772764e+01	2.696616859545835609e+01	4.113343304757730544e-03
4.699078259884637987e+01	3.974742270304797387e+01	3.162908440337115160e-03
4.335975452386452389e+01	4.252189901526738680e+01	4.939548137197052879e-02
3.965574799358912372e+01	3.150757638409550765e+01	9.439049325460852416e-03
4.684194313312931257e+01	3.438061452076769342e+01	8.093443037031621337e-03
2.920474924726628885e+01	2.111100808128540862e+01	2.144870868845033529e-02
4.734250368522900487e+01	2.345360910541519672e+01	2.254882486849894146e-02
3.965574799358912372e+01	3.150757638409550765e+01	9.439049325460852416e-03
1.219150879649175323e+01	1.099633338322843557e+01	4.530556058486686494e-02
4.775069407033264923e+01	2.506315323448641763e+01	3.875323667549528117e-02
4.045643344814586584e+01	2.578680662326709339e+01	2.675254378961226115e-02
4.416552627183531143e+01	1.017363160039298364e+01	2.996227161567536872e-03
4.068228649185683565e+01	4.060726317266909291e+01	1.328545694255855482e-02
4.192354821348346405e+01	3.101829355270719901e+01	2.273639765903646276e-02
4.817107435699807638e+01	2.287670641705335584e+01	3.015144895088621435e-02
3.277963811895352109e+01	2.669537260815201662e+01	3.301413255065469704e-02
4.465239615502309789e+01	3.351723771759426285e+01	3.130175464650952061e-02
2.970998546758101710e+01	2.307425954036606441e+01	4.796846382098806510e-02
