# m1_source	m2_source	ecc
4.814245085751488773e+01 3.412545890104490809e+01 9.647767537425597228e-02
4.918719900958379299e+01 3.211476521709045073e+01 2.962524874078698023e-01
4.824340533134741094e+01 3.623284908183470066e+01 3.781098302939522871e-01
4.704362257003241865e+01 2.580940912920544861e+01 3.820107362163778220e-01
4.538756079348527095e+01 3.021998257662656329e+01 4.359082193744432954e-01
2.683236092508563431e+01 1.674079021402663869e+01 4.887146769077994057e-01
2.663395146860919382e+01 1.654213866309746450e+01 3.832096525512490581e-02
2.480914656588067402e+01 1.933188564439344503e+01 4.531282368539413241e-01
4.600695594398220578e+01 3.374323614456804421e+01 1.811077242937972342e-01
3.356074235702623554e+01 9.089693107648068704e+00 3.241849118660591333e-01
4.843485496174497484e+01 1.507763590018284994e+01 1.853899096351975875e-02
4.863467362573838670e+01 3.842425950041679528e+01 8.948425532472088773e-02
3.984938949446665646e+01 3.320211424275140644e+01 3.440935080181096312e-02
4.213783644822119356e+01 1.113228867995704086e+01 2.743149304795814980e-01
3.701892743496051708e+01 3.106495121310296170e+01 1.731703635093641558e-01
3.693139038688670439e+01 1.731916127823094342e+01 3.160937620476959031e-01
4.288208008019731210e+01 2.669053402391683250e+01 3.644303456266727997e-02
3.527255222867156448e+01 2.634693932718112208e+01 1.451250292775215223e-01
4.932024247547624896e+01 3.103033555248090991e+01 4.389227924961578431e-01
3.917582464847670565e+01 9.164091003431888538e+00 1.204963145005431696e-01
3.919802606905145836e+01 2.772462081595883632e+01 3.134249408051503205e-01
4.932684162059126720e+01 2.632388545746740149e+01 2.036454162588361427e-01
4.362327974966779465e+01 1.313504651454445060e+01 4.384671181048658273e-01
4.570513061645761610e+01 1.491125458083267397e+01 4.226920772089564071e-01
3.656116693164918985e+01 2.640480514391411404e+01 9.103018145895264146e-02
4.642057060488237852e+01 2.644098467633434879e+01 1.055740886725358568e-02
4.695746264276920101e+01 1.779173992929383985e+01 6.478026580183803007e-02
4.962985988615295696e+01 2.234183341004326451e+01 3.933370750239845726e-01
4.890410731415565948e+01 1.107477816441689811e+01 3.234345157231941492e-01
1.988491396025811397e+01 1.611621981059121822e+01 2.733097693198476008e-02
3.781857793615944274e+01 3.409753837720098346e+01 3.296146054021746319e-01
4.969726648895883869e+01 4.338827002263194998e+01 4.849099153108469840e-01
4.333863479511244066e+01 2.696601288497906523e+01 3.768164188115176172e-01
3.203207970479677158e+01 2.244935061397418607e+01 2.710048785224039580e-01
4.527429103670762345e+01 4.093394597510256716e+01 2.989554823693068575e-01
3.932188453491981761e+01 1.888654082133081147e+01 2.075775791648326318e-01
4.668403204203045220e+01 4.107284677037218046e+01 3.003202333489939369e-01
3.044132298270257309e+01 1.810444860546015633e+01 9.287463507601034784e-02
4.738495924541035720e+01 2.186690154587406099e+01 4.249936825337581429e-03
4.908200598776421941e+01 1.693397925129703196e+01 3.631370037826812669e-01
4.585804555500609325e+01 1.470739485348042308e+01 4.132682677224316370e-01
3.910143113592698683e+01 1.709148763751215583e+01 2.554871003969877430e-01
3.940413833052794246e+01 2.962206956464343577e+01 1.280878998156046167e-01
4.351810276334168748e+01 2.703022002834765303e+01 2.805634538592153768e-02
4.223651487471301635e+01 2.524862390075887220e+01 4.102853293293503012e-01
4.624557429657898666e+01 1.990208929236779767e+01 2.850298389278643207e-01
1.886722549173300933e+01 5.096531516169754639e+00 4.807584202263097684e-01
1.744900259094941930e+01 9.496175837422971000e+00 4.296232275051200533e-01
3.149231066908631149e+01 6.782428666447782639e+00 4.574512619827224569e-01
2.928786247537162168e+01 2.512974819235956048e+01 1.180588889212563636e-01
3.235069180395478128e+01 1.533269835741037035e+01 1.244265558612006467e-01
2.760967682998654027e+01 1.389927634099673348e+01 7.242629830108204825e-02
4.247376666636724707e+01 4.174546444674134449e+01 1.117373480464310675e-01
3.430206503075607571e+01 3.129994659641614874e+01 1.055127387440651238e-01
4.319545513222433186e+01 2.698165906400732439e+01 1.533194521084697837e-01
3.443166434790892794e+01 3.190129617350521229e+01 4.591145014702872063e-01
4.788772961923754679e+01 3.714180556956004864e+01 1.601917621801338676e-01
3.368422467061271419e+01 2.065359937719778216e+01 2.294790338026685139e-01
4.257865198544561025e+01 3.463849576948682341e+01 2.262193372651707668e-01
3.458480611274876537e+01 2.296781396699108768e+01 4.462104417542795964e-01
3.872845692170467657e+01 1.652619456790812791e+01 4.571285467576364780e-01
3.183571597364903027e+01 1.316168818235079385e+01 1.195220409384302740e-01
3.628042859641927009e+01 2.825455699514021290e+01 2.596640479721590289e-01
4.516435448350150494e+01 2.567524922485051420e+01 1.966605001859427215e-01
2.462294312557975218e+01 1.069954245720959918e+01 5.453852348988447174e-02
4.021424922670217228e+01 3.934972853256672209e+01 4.857267089141128480e-01
4.225350198971567295e+01 1.936628208065322454e+01 6.256625546085733958e-02
3.722583132386278493e+01 3.283020860659375728e+01 1.275825798616324058e-01
4.733345027029000818e+01 2.758049179602799228e+01 4.429272123563737784e-01
3.183168976410582474e+01 3.041894480099219322e+01 5.309208129933823406e-02
4.913611873211407755e+01 1.967986326674683539e+01 2.207918554479278150e-01
4.022011379252756313e+01 3.217303769651377365e+01 2.721651592215543758e-01
4.639508637927125534e+01 3.661631162373389969e+01 4.870891719518153917e-01
3.546301475847540274e+01 3.444159604917916795e+01 8.074444809488381947e-02
2.777116931612377471e+01 2.275250391185977605e+01 3.856441384645390991e-01
4.445202099594605727e+01 1.645659810293312830e+01 3.933749596666130666e-02
3.506276132908023868e+01 1.987291287128483219e+01 1.433063433223947247e-01
4.509155395968603841e+01 4.073586337198029383e+01 1.846934292501180019e-01
3.578023306093784583e+01 1.713006345460452451e+01 4.962184068333285181e-01
3.471523796429440978e+01 2.987189247779669188e+01 3.369744490784992719e-01
4.569977593889321099e+01 3.668535721560868268e+01 3.370006925659537744e-01
4.395837931521683828e+01 1.301323915261975372e+01 1.353603315593937262e-01
2.167589443543505823e+01 1.995551745622932316e+01 2.238007671545331756e-01
