# m1_source	m2_source
4.498004664703934452e+01	3.679406783563409533e+01
4.937754977835809456e+01	2.878478788529379884e+01
4.253236557561650244e+01	1.180831834226757593e+01
4.874035865288493596e+01	3.523028467227295124e+01
3.560447112920044788e+01	3.023362672695023790e+01
3.819224299014822321e+01	2.934853203278205314e+01
3.351130121996704503e+01	2.997288159004014929e+01
4.162390307823761049e+01	2.990006321589452298e+01
4.252508930028955803e+01	3.146500181417973963e+01
1.565165273010983782e+01	9.673487774828396724e+00
4.751006152396161042e+01	2.721332502921938712e+01
3.183293398979780520e+01	2.925824076798203421e+01
4.571822448996959309e+01	2.032021525180038779e+01
3.495898622093577757e+01	2.554744499987053530e+01
3.538176078147925097e+01	3.159109998434115596e+01
4.526962707234287819e+01	2.859969089150654042e+01
1.998276647549144514e+01	1.746404141291212753e+01
2.616088171316050648e+01	1.547690645889203331e+01
4.867333294389838727e+01	3.715319906549012074e+01
3.986971124188043802e+01	2.815605678841052040e+01
3.664859239523981671e+01	2.013536627903880571e+01
4.635550226586648392e+01	4.100809951501570794e+01
4.905972420738895323e+01	3.261041196959318000e+01
4.683029711971104092e+01	1.952892970179302878e+01
4.121865959354025222e+01	3.107970471897691667e+01
4.118331108542790986e+01	2.667115086210951702e+01
1.859757204603566905e+01	1.422793925589417086e+01
4.178298598417340060e+01	3.360750629741342266e+01
4.423382997315136578e+01	2.913646617699373209e+01
2.665914913613837101e+01	2.643908509296059250e+01
3.534612518609394982e+01	3.029242861411898957e+01
4.043017129302634771e+01	2.061470449176839281e+01
4.638425457403889141e+01	2.111314699616986701e+01
4.975838883290102643e+01	2.535767820202102030e+01
4.785469513808850905e+01	3.937990837899680230e+01
4.295091608892279567e+01	4.061878857488645167e+01
2.421934167472631927e+01	2.117341649512460933e+01
4.342647215214072531e+01	3.135316268413097163e+01
4.071314790397846650e+01	2.580841598827472438e+01
4.365650723119684073e+01	4.364934560342186387e+01
3.780798047808887219e+01	1.483705014787553012e+01
4.189104627424353566e+01	3.648835125172552551e+01
3.978183482956475103e+01	2.351818093808730836e+01
3.234394007911563307e+01	2.406652566390455306e+01
4.444653801414705185e+01	1.984750609658788179e+01
4.125107355071781257e+01	3.007809237400664415e+01
3.856978372990833748e+01	3.252296065782722678e+01
3.802677385167931590e+01	1.331247525233445117e+01
2.738919945677310608e+01	1.965203108912906416e+01
4.441077114819655236e+01	1.363511156908239208e+01
2.704416501146567953e+01	2.666333928147228605e+01
4.467197872844641182e+01	3.635414823953550467e+01
4.527971802552109182e+01	3.163121294506236225e+01
3.224580902507921820e+01	1.807743628906833067e+01
1.185936160421953645e+01	1.134637816786180409e+01
4.156459405252163464e+01	3.177988315947094833e+01
4.657718957495688272e+01	3.814544042359361953e+01
3.849902877034173088e+01	3.427216426203681721e+01
4.589069425478205488e+01	3.966170075471814016e+01
2.505239940267397003e+01	2.132280773969493382e+01
4.572631542719046394e+01	4.211184281601780555e+01
4.948118967320008466e+01	3.067601165284402143e+01
4.327701970494798900e+01	2.207749062107854954e+01
4.057892894886191471e+01	2.567947591105623317e+01
4.133454871496573446e+01	3.649904162166825472e+01
3.317486139849060578e+01	1.932750028839087619e+01
4.803566449523462722e+01	2.315898804984633941e+01
3.944217701274701682e+01	2.405104025515532840e+01
4.162390307823761049e+01	2.990006321589452298e+01
2.632194614503398000e+01	1.904901422033389125e+01
4.051630323264713951e+01	2.005788707243358715e+01
4.683204483100223570e+01	4.221056522635463892e+01
3.786331399898555361e+01	3.726677718763546210e+01
4.731442130471018714e+01	4.699307111092205247e+01
4.126262618136944127e+01	3.852256510211821450e+01
4.799472854474257133e+01	4.352850972593527246e+01
3.616197164654207086e+01	3.395426322068954050e+01
4.501208443572181039e+01	4.497126386088629602e+01
3.083051146839108014e+01	2.352475775958378890e+01
4.758181878939145548e+01	4.461045034029421430e+01
4.233597241015286272e+01	2.961558993144786811e+01
3.814404217708384692e+01	3.139929602687249144e+01
4.547444636922443806e+01	2.890671556124734209e+01
1.460711184107343641e+01	9.716982419560860507e+00
2.737341580150970088e+01	2.023809736442349205e+01
4.238834343529711646e+01	1.133689260315194147e+01
3.434925591875607154e+01	2.763263231749661131e+01
4.350312633871755708e+01	2.250061790159740482e+01
3.544520320867491137e+01	2.330892915297161849e+01
3.930513261225222976e+01	3.527808429030767456e+01
4.421756523297811015e+01	4.235643103018232836e+01
4.568428238298499622e+01	2.207522026224433631e+01
4.399771052898030632e+01	2.647360894999737724e+01
2.943282420033122904e+01	2.699565393159337745e+01
4.234331249640854367e+01	2.856586843494382677e+01
3.699886116202220876e+01	3.235946029968246762e+01
1.828451297179591606e+01	1.022008901962186478e+01
4.917025982938174877e+01	3.917991514013030496e+01
3.522106624279476961e+01	2.970715890214574273e+01
4.584671335048108887e+01	4.306786109308821153e+01
