# m1_source	m2_source	ecc
4.918910932375213463e+01	4.023711756981217036e+01	1.455097924894335759e-01
4.952407397442486570e+01	2.887020459638572234e+01	2.744178333812646517e-02
4.416645171439245132e+01	1.226199189332007933e+01	9.648624820248458134e-02
4.958349249381846846e+01	3.583971484582701805e+01	6.563314352048553457e-02
3.760488658135109574e+01	3.193228456853644559e+01	1.153744282595833281e-01
4.510408157755009739e+01	3.465988062888595778e+01	1.923860587739163464e-01
3.482847992788608593e+01	3.115098091797243285e+01	9.753682810279395987e-02
4.576987231484552865e+01	3.287827364543359465e+01	1.495806849733026522e-01
4.259317252354376393e+01	3.151537769294818858e+01	2.017504339592152834e-02
1.631082985886740033e+01	1.008089151719586596e+01	1.007823781229494620e-01
4.779515222048536316e+01	2.737662235063823246e+01	3.894460474146042156e-02
3.184085032670510529e+01	2.926551682024000200e+01	7.958513881655563185e-03
4.589674677202688713e+01	2.039956241016264471e+01	3.145962821078112509e-02
3.550312177706998540e+01	2.594509020345162753e+01	6.232845133588591630e-02
3.571438817747955596e+01	3.188809100718694722e+01	4.863642927552629114e-02
4.529654482212166045e+01	2.861669653906661281e+01	1.230336722083162984e-02
2.135838778994977005e+01	1.866627272726240960e+01	1.267061969160346857e-01
2.777397054136518051e+01	1.643121775381479921e+01	1.204528203353762983e-01
4.882568636082727664e+01	3.726949307054604787e+01	2.818097635951840110e-02
4.390976476810341467e+01	3.100914934838531067e+01	1.507150569400432516e-01
4.277855800434507927e+01	2.350327469653310430e+01	1.863741944899199032e-01
4.988646911322815924e+01	4.413174682295244367e+01	1.326809872381646271e-01
4.936036910030026092e+01	3.281025316260411273e+01	3.935285722999300184e-02
4.960791619818773768e+01	2.068723812728237021e+01	1.183106225128731509e-01
4.219172102341316588e+01	3.181341275829936066e+01	7.635835067270842214e-02
4.138422457809105026e+01	2.680126653109826051e+01	3.514110638796122399e-02
2.165701648345960706e+01	1.656854530407614590e+01	1.851190989175519053e-01
4.688266563568671330e+01	3.770935569773973839e+01	1.633891528855471731e-01
4.425861377913289374e+01	2.915279106961904176e+01	1.194331061408964584e-02
3.012506777884805587e+01	2.987639351761924544e+01	1.678489225624242021e-01
4.180916307822732136e+01	3.583139824507648541e+01	1.931794940535506155e-01
4.220550736198296704e+01	2.151992025674416809e+01	1.027909804210456884e-01
4.837522770812015693e+01	2.201939651621303184e+01	1.016922121065500922e-01
4.980400171484323124e+01	2.538092326299036472e+01	1.527304031418229291e-02
4.950675158524123276e+01	4.073939528698097945e+01	9.169006419357572657e-02
4.716345235111461420e+01	4.460259463489599341e+01	1.485654331688243401e-01
2.422726765166665075e+01	2.118034566822693066e+01	9.129156894142708908e-03
4.604507503180511918e+01	3.324374872583420881e+01	1.192176150993864703e-01
4.142275011006736207e+01	2.625823895367480532e+01	6.587525028924387516e-02
4.365933752665682022e+01	4.365217543458628313e+01	4.063991525248266193e-03
3.800674932307496334e+01	1.491505334412143924e+01	3.647076428087601963e-02
4.295854050519448464e+01	3.741817057882305875e+01	7.923680917711856120e-02
4.325651852717923873e+01	2.557234058791796372e+01	1.411119078615896139e-01
3.304766602810758513e+01	2.459015508475875578e+01	7.339407972798017710e-02
4.493949400061663368e+01	2.006763453367088346e+01	5.276837698158251544e-02
4.580976275570176171e+01	3.340204647288143747e+01	1.565347189675516948e-01
4.318685391012891017e+01	3.641618424645993457e+01	1.620351042774709205e-01
3.957378487441736326e+01	1.385405540414055636e+01	9.914305656972050018e-02
2.771740183119182532e+01	1.988751965372848218e+01	5.481694843982917731e-02
4.921762542091659043e+01	1.511092458944512629e+01	1.551248671162239468e-01
2.711758748137126673e+01	2.673572784385335055e+01	2.625264175966713492e-02
4.967879101084113103e+01	4.042870238069330924e+01	1.574952525966631656e-01
4.538239515256925927e+01	3.170294046925801368e+01	2.399990097671516470e-02
3.706307148934789097e+01	2.077805872399647313e+01	1.779275625520267967e-01
1.251722834676977847e+01	1.197578851001534872e+01	1.146922616112356491e-01
4.416582895693800737e+01	3.376876199293749892e+01	1.212808463468928455e-01
4.970190127888464104e+01	4.070449358310774812e+01	1.252179242197366260e-01
3.961136557731396834e+01	3.526237598895264114e+01	8.418598387832232355e-02
4.723532039979242825e+01	4.082381348054194348e+01	8.475601994088617641e-02
2.508938534791846919e+01	2.135428752679409570e+01	1.937522578738436196e-02
4.574463617911267477e+01	4.212871538967723239e+01	1.010072936928698394e-02
