# m1_source	m2_source
4.305047682138293652e+01	2.631071858914023665e+01
1.913785486009745895e+01	1.029998707380537226e+01
2.927129908160480554e+01	2.590576194836159729e+01
4.419198379261930398e+01	2.260603238568679529e+01
4.488214734755407420e+01	2.198874510989425346e+01
3.913363972733507268e+01	3.482492705144839107e+01
3.913682026985489415e+01	3.123175457923829512e+01
4.676872696961174114e+01	3.845272484877646946e+01
4.722700912672333118e+01	3.958144214796492832e+01
4.378170234640912639e+01	1.474151409894746934e+01
3.851793164199944641e+01	3.776767006083805711e+01
3.059583998057124177e+01	2.382220861734704442e+01
3.695680352468158247e+01	2.279965125790395319e+01
4.172803292246580043e+01	2.613840567719814345e+01
3.833801365473414791e+01	3.142627867323380997e+01
4.395957356075604139e+01	3.812099079064727647e+01
1.987162868637376434e+01	1.222653651647256901e+01
3.633978358104057094e+01	2.106174382993605576e+01
4.596788647986787879e+01	3.526892115015546381e+01
3.831684589542145147e+01	3.243984535119185608e+01
4.259180855461897153e+01	2.728098691407833343e+01
1.525816218906643584e+01	1.267353386462964870e+01
4.368120767465791232e+01	3.239335350162976113e+01
4.948435192177748831e+01	2.331581269902536491e+01
4.837006792338165440e+01	3.737101516884307273e+01
4.784082311617031991e+01	2.425684633815204450e+01
4.095423549891991399e+01	1.095038201031199776e+01
3.356256513438216160e+01	1.326420881275043584e+01
3.937165604141895159e+01	1.147369868557611383e+01
4.031589745462944308e+01	3.090655395769604397e+01
4.827894931475206874e+01	1.266117694269101612e+01
4.782783675171076254e+01	4.113648114845265269e+01
3.648292103277111664e+01	3.134370278024921319e+01
4.753299783785794119e+01	3.632076238386524381e+01
1.883957502769756687e+01	1.706968957492166794e+01
4.480833523499418902e+01	4.011071960496919075e+01
4.770927364803160486e+01	4.563511924681608178e+01
4.564908087901519451e+01	3.073338726526864306e+01
4.168853160526543178e+01	2.782076599154281027e+01
4.896385504618147166e+01	2.967220700908699982e+01
3.039712939436489236e+01	2.418050831512721999e+01
3.685347760393766947e+01	2.886506302509059552e+01
4.079885758628190473e+01	2.363778994869944938e+01
4.059263909001843729e+01	3.152143023180960668e+01
4.618549651787636634e+01	1.819343892583817990e+01
3.442297830188125118e+01	2.993082529509408829e+01
4.079831925863929598e+01	2.294111111613662146e+01
4.280655013119498165e+01	4.146671855455893763e+01
3.389590462535038284e+01	2.823268535018117831e+01
4.918201067970488083e+01	4.603576793806560374e+01
3.412310756465667794e+01	2.740873006506903309e+01
4.174389385979366551e+01	3.815688154313429692e+01
4.935041206365782784e+01	4.528874603953779854e+01
3.565826818806129950e+01	2.586404018816440242e+01
3.470760027240264378e+01	2.422023958250425935e+01
3.672845140941379327e+01	3.239833112327590214e+01
4.550423699093006746e+01	3.822765342345000761e+01
4.679646995877166660e+01	4.556630900586758059e+01
3.104815250038554098e+01	2.058802917453616033e+01
4.448262662243112686e+01	2.304681249747430272e+01
4.346748230731541440e+01	2.214344409764083110e+01
4.808977319708127851e+01	3.012469321778829112e+01
4.194957811506816370e+01	3.289415891551873727e+01
4.628853526889034242e+01	4.108864805298237144e+01
4.123374907886679352e+01	3.613774716119751673e+01
3.982131978999190380e+01	1.656626817992036749e+01
4.977070007056430967e+01	2.962150347270480211e+01
4.953150723926277266e+01	3.486526507577944756e+01
4.714557056950994252e+01	3.055362162599806197e+01
3.382739195734324511e+01	3.130985646317022031e+01
4.887956857677664857e+01	4.755711842359557551e+01
3.112327101233129767e+01	2.078645640719521026e+01
4.265876779220111814e+01	4.138671757955347630e+01
3.508634440363996987e+01	2.334090354844238391e+01
3.749244817617282877e+01	2.263566404106279961e+01
3.494053115966936929e+01	2.437502057239794695e+01
3.861674990343880154e+01	3.727482559531320305e+01
3.949172135790849580e+01	3.839235814724226259e+01
4.891540430581851240e+01	3.958145791765376487e+01
4.724650615314061497e+01	4.328699839844780684e+01
4.721665018739030728e+01	4.502238526635067473e+01
2.736472606398712770e+01	2.327072866773471560e+01
4.005070910471605572e+01	3.736306547282659096e+01
4.421598315813521651e+01	3.694041394007964385e+01
3.787972705441792698e+01	1.539090957624180334e+01
3.737393453693270118e+01	2.600292248588593580e+01
4.976068499730146044e+01	2.744031517469351300e+01
4.442097824939005335e+01	4.407363043175512018e+01
4.477238093794665019e+01	1.827087440793098239e+01
4.441105477234435028e+01	3.088317197177090989e+01
3.410601861650543043e+01	1.713153843499591034e+01
3.601487627295848881e+01	3.248642603551814290e+01
4.941929160412122712e+01	4.178510381713301314e+01
4.558464492849866190e+01	2.724123566235472182e+01
3.777556587035934399e+01	3.326303671409976914e+01
3.992017643543049843e+01	2.032935507407637488e+01
3.736757135607469138e+01	2.680208287802185296e+01
3.941175742745646460e+01	3.616476644459265088e+01
4.824179103832657489e+01	2.118099881325314016e+01
4.908600061272795756e+01	3.385035533643061001e+01
