# m1_source	m2_source	ecc
4.360403846348391710e+01	2.664903318313393399e+01	5.675153872791797310e-02
1.943048774268611467e+01	1.045748199317159610e+01	6.178814789456811563e-02
2.984455803835714960e+01	2.641310909503214077e+01	6.973089018576801579e-02
4.419571490794665891e+01	2.260794100590897671e+01	4.637707064602070682e-03
4.552342101307549171e+01	2.230291909688390461e+01	5.976690775291296220e-02
3.958485050965239793e+01	3.522645838583260058e+01	5.378704916936281194e-02
3.948582670938996131e+01	3.151026681888820136e+01	4.738434956752111959e-02
4.806950977236996181e+01	3.952221393782056680e+01	8.265595167241597541e-02
4.812440608307326784e+01	4.033355976812194399e+01	6.871206228225158752e-02
4.473456103507665205e+01	1.506234629688618121e+01	7.340436096176622405e-02
3.934141803528814307e+01	3.857511638714611024e+01	7.277117727496811017e-02
3.107649632879077117e+01	2.419645216835949952e+01	6.261193366679604355e-02
3.699590263715538185e+01	2.282377255747199740e+01	1.640628627680569204e-02
4.250065301659130768e+01	2.662237427193472428e+01	6.784890342129677732e-02
3.891293557357654720e+01	3.189755130096058622e+01	6.120174020208511007e-02
4.487036295174982570e+01	3.891081178238885485e+01	7.166907052873199013e-02
2.031468700265114435e+01	1.249913967187506358e+01	7.427065557975967569e-02
3.634060145374603934e+01	2.106221785106966138e+01	2.394557898917700975e-03
4.605204208085765316e+01	3.533348964531462855e+01	2.157073269033620705e-02
3.912159572743102132e+01	3.312116343692467524e+01	7.214476401090057223e-02
4.383986918403864763e+01	2.808039710243677334e+01	8.475908805746802666e-02
1.541741594876526200e+01	1.280581112657007559e+01	5.121172390892858584e-02
4.513122195741910758e+01	3.346866317698807336e+01	8.998729012636805247e-02
4.969615116156847279e+01	2.341560730505695886e+01	3.292851451871006002e-02
4.862840954062316712e+01	3.757061150829764529e+01	3.675760602903006130e-02
4.920256963759018731e+01	2.494729591594013840e+01	8.358253928572284552e-02
4.133370390182362542e+01	1.105184462881816465e+01	4.828915456645460624e-02
3.356260632284119083e+01	1.326422509077683465e+01	5.591650432968815190e-04
4.052717230567643725e+01	1.181043954881096170e+01	8.482321670062170638e-02
4.050735803994670903e+01	3.105332948011965755e+01	3.467450988715555654e-02
4.830074124905020483e+01	1.266689188760983420e+01	1.072058540675023541e-02
4.784712114372621983e+01	4.115306755675544537e+01	1.013272048230235561e-02
3.742641438252260144e+01	3.215428960533343172e+01	7.980366977846942156e-02
4.753301503740223666e+01	3.632077552632605943e+01	3.036273800534825527e-04
1.890416653726292040e+01	1.712821302971484627e+01	2.948774546451816275e-02
4.654934239643299776e+01	4.166920308168130305e+01	9.700361530503506802e-02
4.817593846882736131e+01	4.608149587586348161e+01	4.959804635699737591e-02
4.685610836835091675e+01	3.154602231848901894e+01	8.066359392392800920e-02
4.176279097758728653e+01	2.787032284904038093e+01	2.127807232580498920e-02
4.974502441916990136e+01	3.014559741763651957e+01	6.308648126289245761e-02
3.062305036226735666e+01	2.436022541183240619e+01	4.330111880700915350e-02
3.766762246976202277e+01	2.950273263977745941e+01	7.393889686543786421e-02
4.126820603416368982e+01	2.390971815159863922e+01	5.372720405239488767e-02
4.150805611602156375e+01	3.223227965094145020e+01	7.468223034049867315e-02
4.809589446204815033e+01	1.894598487514682006e+01	9.992652353160094703e-02
3.444933879527800968e+01	2.995374577906940416e+01	1.396082531535466215e-02
4.098562884919401483e+01	2.304643629148986861e+01	3.409676352753134715e-02
4.375926483158019664e+01	4.238961358400152335e+01	7.420635329651970036e-02
3.391093187542691112e+01	2.824520189540333348e+01	1.062473201494239412e-02
4.953949562148592634e+01	4.637038406281823200e+01	4.282623369051154899e-02
3.425663464847475836e+01	2.751598312781576894e+01	3.149271204445983768e-02
4.218969357355837246e+01	3.856437411982625463e+01	5.179404018190707920e-02
4.977823628988196702e+01	4.568135923000181720e+01	4.672717389688158668e-02
3.565833277394447975e+01	2.586408703429471245e+01	6.793104928621695061e-04
3.481451881100041845e+01	2.429485126986739729e+01	2.795786446619692722e-02
3.716131517085150193e+01	3.278016218165619478e+01	5.437063158087952763e-02
4.605091284518194072e+01	3.868691032947118913e+01	5.488629135649064628e-02
4.680254878172259225e+01	4.557222803192270533e+01	5.752356095186421381e-03
3.115483863829025069e+01	2.065877275000891800e+01	2.952047300670344876e-02
4.465880720921052927e+01	2.313809309975673045e+01	3.168252390501399840e-02
4.514673434088341253e+01	2.299889791178788556e+01	9.673962668348815019e-02
4.846062254237345002e+01	3.035700295880454291e+01	4.409906069934586836e-02
4.312913197189629244e+01	3.381908912362446529e+01	8.309193641381527884e-02
4.629006522826790615e+01	4.109000614223783998e+01	2.901842457321575971e-03
4.151466551867775934e+01	3.638394566368865668e+01	4.147412803216452698e-02
3.983191916905802543e+01	1.657067768108898775e+01	8.233519207336401427e-03
4.978536707945810491e+01	2.963023268194368853e+01	8.663208450868587623e-03
4.963632870365069039e+01	3.493904898313890328e+01	2.318742427662065508e-02
4.782709339079885069e+01	3.099529600090976800e+01	6.011015412128367652e-02
3.414201082038129442e+01	3.160106045119120211e+01	4.837926679329815349e-02
4.891042596962009981e+01	4.758714096120031201e+01	1.267690943923067450e-02
3.114896785501796472e+01	2.080361868747408494e+01	1.449567673620658428e-02
4.352126626241464180e+01	4.222349703772736973e+01	7.082166785392046693e-02
