# m1_source	m2_source
4.554579537953711821e+01	1.062237016175676452e+01
4.949788783639462508e+01	3.357499010625963365e+01
3.337477362583450002e+01	3.262758043590342538e+01
3.316154991074176905e+01	2.661082026605939888e+01
1.654553386853880781e+01	1.587057756955752374e+01
4.588151367454774743e+01	2.106482880785841871e+01
4.366654189743802306e+01	3.071203584671705045e+01
4.676320989788548133e+01	2.830126125796751424e+01
2.663469029595365711e+01	2.131097715135418014e+01
3.143003627625595442e+01	3.105286697255142059e+01
4.497882847898198833e+01	3.146609682960223964e+01
4.311616440910157877e+01	2.491024325347292390e+01
4.342241269323813668e+01	3.963760968298863219e+01
4.096113621420818163e+01	3.553789161208855774e+01
3.265960987048693909e+01	2.475789537146706110e+01
4.583655551788920235e+01	3.495803803342946026e+01
4.545854676875484301e+01	3.631378431201478207e+01
3.317713073297593240e+01	3.236381789918413432e+01
2.452083997261464177e+01	1.906379059756049088e+01
3.757451954449931009e+01	3.130255391088717687e+01
4.556048951579729334e+01	2.651549867614515321e+01
4.567325500468853505e+01	3.923718969952326319e+01
3.178051426574651472e+01	1.153172138203555264e+01
3.478251618921098753e+01	2.099650229345630592e+01
4.010015675655980516e+01	3.769718192643330212e+01
3.443991261645457769e+01	3.228867353669782148e+01
1.612274381249687139e+01	1.068472798726354966e+01
3.550637284468346877e+01	1.765866952745706797e+01
4.355521636883673153e+01	3.288188199220312669e+01
2.927398710832378725e+01	2.584552994999046049e+01
4.231979195551907935e+01	1.489106442467136304e+01
4.633758507077212840e+01	3.590042481171368394e+01
4.126663972157010107e+01	3.224461050511798277e+01
4.709932586988550440e+01	4.427222909692365960e+01
4.306013653297969768e+01	2.559300100689369728e+01
3.144221154791804196e+01	3.055815087442061539e+01
4.730277084740207272e+01	2.182895018187532443e+01
4.167479599304974869e+01	3.995081722543832115e+01
2.481221068292424903e+01	1.091194014202076978e+01
3.756320536807550781e+01	2.649298617321619531e+01
2.972806888494029920e+01	1.817978982070957628e+01
4.514863703111590354e+01	2.496882616471249605e+01
2.501727292144955683e+01	2.340145670951328327e+01
4.201897163920067868e+01	2.962893367527676602e+01
4.201099051174970356e+01	3.458808658407872372e+01
4.149682843984268033e+01	2.330468897470725409e+01
4.011449573121685575e+01	4.001026666403191712e+01
2.334829838292551329e+01	1.562709124704021235e+01
4.674296890548314565e+01	3.371069025955719667e+01
4.097665386107181718e+01	1.899741006565794876e+01
2.093361959400505157e+01	1.830161502280829566e+01
3.679013736127087242e+01	3.201868106761974531e+01
4.309453245273019206e+01	3.697931745083176480e+01
2.349807601586539718e+01	1.230696480776127544e+01
3.558152019293430612e+01	2.157776342144082804e+01
4.906631968798406263e+01	2.574708373709767883e+01
4.498471195741385031e+01	3.914815892815970244e+01
4.403610642023155464e+01	3.934157022171563511e+01
4.688433638100254797e+01	2.230447609230485639e+01
4.618847744328974869e+01	3.922414347343518415e+01
4.214967264867316032e+01	3.122621040176730389e+01
4.564456365358873313e+01	4.260475601371584276e+01
3.159438669962375812e+01	1.610708796077509675e+01
4.543110038327466782e+01	2.962029255322751453e+01
4.776727686075327028e+01	3.598008179025469389e+01
2.780225452558151034e+01	1.753813337212022816e+01
4.687888239140286828e+01	4.324685787445567087e+01
4.452004561040390485e+01	3.292524958381952871e+01
3.443991261645457769e+01	3.228867353669782148e+01
4.384568962712697271e+01	2.871263131877144303e+01
3.192247614775412146e+01	2.791527574460361194e+01
4.291218467943929937e+01	3.993726857162052823e+01
3.708004930702612967e+01	3.057055596326861036e+01
4.634285892392047401e+01	4.074898513581169368e+01
2.582841622444302843e+01	1.075723429837895928e+01
4.405012462507053073e+01	2.868200276437794471e+01
3.431387188227664353e+01	1.995610874238510490e+01
4.678711929522129509e+01	4.660129673769285574e+01
4.342273307600846977e+01	3.138043607197725038e+01
4.055877551436127959e+01	3.986173426010319076e+01
4.444211644011408424e+01	3.216631491674132093e+01
3.520138827112175051e+01	3.165301381678153447e+01
2.858107826377468896e+01	1.406990321676206968e+01
3.655743243233069251e+01	3.491261257561156128e+01
4.559152207216613562e+01	2.441535784122439168e+01
3.187035925557857041e+01	1.136603776980808078e+01
3.139739761478459101e+01	1.671952567760954267e+01
4.659616851258743253e+01	4.587608802087655135e+01
3.664885204051419265e+01	1.770657164213033496e+01
4.109357236599105079e+01	3.862998147656703907e+01
4.788170249923105359e+01	4.616698235396147965e+01
4.294869260959006141e+01	3.407719278932592744e+01
4.542446525810711222e+01	4.082976436608704063e+01
2.756476878484374282e+01	1.438103130525211881e+01
4.414712719564413135e+01	4.274641373017887247e+01
3.799425994810228957e+01	1.533388723449614588e+01
4.827243765629795291e+01	3.116134553658110562e+01
1.596287224472341748e+01	1.345620927977749481e+01
4.780779843737883539e+01	3.285090246763941479e+01
4.129141985857358321e+01	2.427756559442112305e+01
