# m1_source	m2_source	ecc
4.582100235633119212e+01	1.068655501909088557e+01	3.907888205451146013e-02
4.967368611002032708e+01	3.369423610958789084e+01	3.001012884452827767e-02
3.554843886649953788e+01	3.475258174005092826e+01	1.235273790587601284e-01
3.502922834231496552e+01	2.810955766497967545e+01	1.155043292417487211e-01
1.705962893423786042e+01	1.636370070980371594e+01	8.718009886123496976e-02
4.604742759572535249e+01	2.114100215233954572e+01	3.028013682099119433e-02
4.595243327438736713e+01	3.231977428580532319e+01	1.116354933733665344e-01
4.701121900857241087e+01	2.845135725546712990e+01	3.662948513678800783e-02
2.854197328606074890e+01	2.283703447628255390e+01	1.290079902332215145e-01
3.357619591087386368e+01	3.317327208598733534e+01	1.262363718563193071e-01
4.546097515442619397e+01	3.180339494270643996e+01	5.188961456403881622e-02
4.378036377070183960e+01	2.529398257474639067e+01	6.201359826787920110e-02
4.388024476340240199e+01	4.005553599734913206e+01	5.146847991328938610e-02
4.418276615738520974e+01	3.833297852413498674e+01	1.346181378755612612e-01
3.459659878153836843e+01	2.622624630969546544e+01	1.183068858413819785e-01
4.772561644516736834e+01	3.639876286532661709e+01	9.975400725508817845e-02
4.559617847048098582e+01	3.642372904818074630e+01	2.771765709805290231e-02
3.324849727931629673e+01	3.243343494739854549e+01	2.337685269900648469e-02
2.504769353897916773e+01	1.947339426839592846e+01	7.294739659774111817e-02
3.983308746363287867e+01	3.318412006015890370e+01	1.190431672008402525e-01
4.940824765172275335e+01	2.875483426809226728e+01	1.390021526356582382e-01
4.660742401965474357e+01	4.003971990780124202e+01	7.122072978238060126e-02
3.396794187044351077e+01	1.232544062363784576e+01	1.266967875350816231e-01
3.480421536975345020e+01	2.100960102649641925e+01	1.260203776433324423e-02
4.087764061129297488e+01	3.842807558589377948e+01	6.939032497085566298e-02
3.609158723289426263e+01	3.383717869909453668e+01	1.071479983213638326e-01
1.616991739315290033e+01	1.071599046239536968e+01	2.724986484076857493e-02
3.631058121276182504e+01	1.805863293304716422e+01	7.484017304370151058e-02
4.394317636487781442e+01	3.317477124568519287e+01	4.735734058928507684e-02
2.928826941463575650e+01	2.585813956733349883e+01	1.114543911677274603e-02
4.499229728320361943e+01	1.583143882565274296e+01	1.217862461208202574e-01
4.728431500981515256e+01	3.663391161172067712e+01	7.118316644368077872e-02
4.234112896557014238e+01	3.308418667120475476e+01	8.006635572709963622e-02
4.845379130749225993e+01	4.554539390448902481e+01	8.399646349629702469e-02
4.724658598992422043e+01	2.808123754754724288e+01	1.479927613198248892e-01
3.144508017194993243e+01	3.056093884134956085e+01	4.820965561618474789e-03
4.759553624479092093e+01	2.196405349950537556e+01	3.954676244127085932e-02
4.167479974397711118e+01	3.995082082119949973e+01	1.514302813763917556e-04
2.481915572854967067e+01	1.091499444149922482e+01	8.443139462941678594e-03
3.771481960053388605e+01	2.659991830866160356e+01	3.198179490794730156e-02
2.972996046654868962e+01	1.818094659130918700e+01	4.026159163329634180e-03
4.515266112110752061e+01	2.497105163174935782e+01	4.765032697759873960e-03
2.535995550545860766e+01	2.372200610272537702e+01	5.854235192116558073e-02
4.347553433671109246e+01	3.065600306500348537e+01	9.187014253628732197e-02
4.262010509030959327e+01	3.508957696852851882e+01	6.019824204160349745e-02
4.149966912638666372e+01	2.330628430907065152e+01	4.176039084750291300e-03
4.167792313221528389e+01	4.156963182825914771e+01	9.714535761925173485e-02
2.551553875413988592e+01	1.707763220209342947e+01	1.449883550585964465e-01
4.675935238161081742e+01	3.372250590375026036e+01	9.447645483537221722e-03
4.122971513275422950e+01	1.911473318252803466e+01	3.950415846139305326e-02
2.171913295700682056e+01	1.898836501844913016e+01	9.540940399517747195e-02
3.837979044665125627e+01	3.340216584912896991e+01	1.020109904617017144e-01
4.313164141500417514e+01	3.701116056451922987e+01	1.480332558650957614e-02
2.354531427255001930e+01	1.233170553811745940e+01	2.260109885532914087e-02
3.687746624471445500e+01	2.236366624854418816e+01	9.406417468577693564e-02
4.947002986591281370e+01	2.595892680628951155e+01	4.553568747581902831e-02
4.700184893362767014e+01	4.090358194830581340e+01	1.038117089883022343e-01
4.448053662265887453e+01	3.973862126547940932e+01	5.036997252474752912e-02
4.699974400546747688e+01	2.235937943101971825e+01	2.500183116338661540e-02
4.625809404361054078e+01	3.928326322949270377e+01	1.957644052778335919e-02
4.302360181271350825e+01	3.187365305642392599e+01	7.169456771645513204e-02
4.775515343417328040e+01	4.457478607752119615e+01	1.053253624058814036e-01
3.173788659479629004e+01	1.618024543193859088e+01	3.391480132276446929e-02
4.938787983591491582e+01	3.220004439650337957e+01	1.409316460963477291e-01
4.845269231826519984e+01	3.649636209431042744e+01	5.989218896352181687e-02
2.798325655547097668e+01	1.765231252035819054e+01	4.055120237066406341e-02
4.692502155420868348e+01	4.328942232383075606e+01	1.582492259455944156e-02
4.520761033151846675e+01	3.343374502081512389e+01	6.209056896557441779e-02
3.609158723289426263e+01	3.383717869909453668e+01	1.071479983213638326e-01
4.478769455160063018e+01	2.932950929074306501e+01	7.294508530543457325e-02
3.223446444376044440e+01	2.818810042373547375e+01	4.957772922272223048e-02
4.291232525401529330e+01	3.993739940076935113e+01	9.135709883170998677e-04
3.758782610344329811e+01	3.098919130118815701e+01	5.853444189319802898e-02
4.635855419028823121e+01	4.076278588507000222e+01	9.286991862902311753e-03
2.590927058235202196e+01	1.079090919600001186e+01	2.818241556906369433e-02
4.418948248928337819e+01	2.877274172778863814e+01	2.833074427946275647e-02
3.472886803364165331e+01	2.019746035530491923e+01	5.506670164993903577e-02
4.769246230906762918e+01	4.750304403637639439e+01	6.932350979227008825e-02
4.428812045693141641e+01	3.200582815259578950e+01	7.032661885870231111e-02
4.089778857633006481e+01	4.019492105915038138e+01	4.589201095432856453e-02
4.469059797649747168e+01	3.234616088247236121e+01	3.760244427541242773e-02
3.608171018754001835e+01	3.244459742050158013e+01	7.851982013259503623e-02
2.874675250538672699e+01	1.415146139044183116e+01	3.828207272899726565e-02
4.006587319014739990e+01	3.826319889342454417e+01	1.471471409550217380e-01
4.622858513169237682e+01	2.475652044906928850e+01	5.911732290199613743e-02
3.196099265111187293e+01	1.139836067488035987e+01	2.686635474896675868e-02
3.309371739646219623e+01	1.762283819080460390e+01	1.132914502531431333e-01
4.689865874570826776e+01	4.617390367832397402e+01	4.049374473100352673e-02
3.683043833833706771e+01	1.779430347034900706e+01	3.541285194706379758e-02
4.309550865144157683e+01	4.051190016047837616e+01	1.079400617898078896e-01
4.928185696746622568e+01	4.751699505722472594e+01	8.467432207726231785e-02
4.294896275686459575e+01	3.407740713486700201e+01	1.265912445246643921e-03
4.546033095158605875e+01	4.086200223185498714e+01	1.417576062256928858e-02
2.930963205866428112e+01	1.529135758297497105e+01	1.219196218124189990e-01
4.419545699084625312e+01	4.279321010295414141e+01	1.668859036902140686e-02
3.903378825355141402e+01	1.575342454972736306e+01	8.200416522830637767e-02
4.838343541464575992e+01	3.123299800887366118e+01	2.416700112246374446e-02
1.715976145901523964e+01	1.446514999579074079e+01	1.317353184931276955e-01
4.982729553788788479e+01	3.423859034390508072e+01	1.009254977307404155e-01
4.455620584247081695e+01	2.619711827987701724e+01	1.349393114138185690e-01
