# m1_source	m2_source	ecc
2.489231168541758166e+01 1.969955781054073540e+01 1.242985382461534727e-01
4.218034358799535255e+01 2.998067762363861988e+01 1.265439083087561978e-01
3.264508142721886941e+01 2.478505037887037332e+01 1.725603929945718207e-01
4.390151595764236703e+01 1.303811421905208157e+01 1.770233025961504836e-01
4.640051875917919233e+01 2.490039432827241939e+01 1.300308909323495410e-01
3.852445245017009512e+01 3.638426235266365438e+01 1.163807689299349718e-01
4.216421145648882174e+01 3.880203395089387186e+01 1.855732988382337578e-01
3.838231692247946825e+01 1.297247317672665901e+01 1.178855758702423151e-01
4.798442855135425589e+01 3.130857895623233489e+01 1.485385431157582592e-01
3.970413240789770981e+01 3.534356923295081288e+01 1.630285853232687487e-01
4.282207827100752695e+01 3.532203853696258733e+01 1.654889220879895984e-01
3.398371492552067963e+01 1.473806171594883097e+01 1.224886928590560864e-01
4.817060538632381395e+01 2.218804161126254471e+01 1.563228725509702710e-01
3.541750090544143603e+01 3.056206885217572733e+01 1.286298694287673350e-01
3.681059237068734546e+01 1.583905632121629381e+01 1.220469006163631964e-01
4.891291898409836136e+01 3.091462291827168940e+01 1.120781018675163360e-01
3.677163711825299686e+01 3.056782441386602400e+01 1.273942313172621854e-01
3.584917878734737684e+01 3.156861666228005348e+01 1.222531206779782220e-01
4.425559895068429483e+01 1.873671897895666660e+01 1.268434884803790741e-01
3.632734697409102154e+01 1.299260552938526914e+01 1.289474739163065931e-01
4.610414378831042370e+01 3.567925975437159281e+01 1.164682792927730359e-01
3.917661411723587861e+01 3.698274802839158326e+01 1.178229642866758381e-01
4.230643600517753811e+01 1.235794077336893082e+01 1.265328664131160075e-01
3.463058136754611382e+01 1.840438726783332157e+01 1.584574020103701741e-01
4.486155813799533831e+01 3.792956208428033449e+01 1.845591424563962080e-01
3.695131047229140364e+01 2.652729174566391634e+01 1.613177865864016125e-01
4.170770022233088525e+01 2.305620081734029725e+01 1.027140717523852553e-01
4.686362327045816301e+01 2.294876124181327270e+01 1.886383737611337097e-01
2.186590316725210315e+01 1.251548807201168501e+01 1.294286782731807195e-01
4.944765738691549473e+01 3.694209210167615254e+01 1.153771641373614598e-01
4.440434709235987043e+01 2.844876533560897158e+01 1.601337738481370676e-01
3.969740130263228650e+01 1.003947365470139808e+01 1.218588657336088232e-01
4.731685673145747018e+01 4.512972915394294660e+01 1.975690041400382790e-01
4.248692273955651899e+01 3.726255140533028509e+01 1.916990717609608486e-01
3.009979201648587477e+01 1.298257106032838415e+01 1.451020418044671467e-01
3.764855002099739778e+01 2.773429736405087809e+01 1.435628291105728316e-01
3.628528374727453354e+01 1.557334799587352592e+01 1.049458899308891024e-01
2.764084798255364817e+01 1.758871633899524767e+01 1.483755007822929461e-01
