# m1_mean	m2_mean	ecc_mean	m1_std	m2_std	ecc_std
46.414964	29.847282	0.023638	8.689960	5.574821	0.014183
37.919549	24.549979	0.059463	7.060348	4.488716	0.014201
56.807726	56.315779	0.043666	6.403300	5.907131	0.014336
39.477374	20.763626	0.032596	6.131010	3.233195	0.014164
41.676453	25.838082	0.023442	7.389242	4.526994	0.014071
43.584545	38.803924	0.047399	8.825285	7.107287	0.014106
47.321523	42.414582	0.030567	7.958734	6.361405	0.014137
46.382924	28.961500	0.093069	9.257820	5.651808	0.014144
77.108380	41.482189	0.063829	12.090386	6.349778	0.014163
51.141338	50.672275	0.079510	6.304600	5.820152	0.013965
31.803884	19.507952	0.056720	7.489213	4.576074	0.014102
78.298048	25.653599	0.094559	9.210700	2.880561	0.013887
42.294264	25.454702	0.029452	9.484197	5.716724	0.014151
53.913676	21.908691	0.072419	7.775203	3.118776	0.014078
51.991303	47.148337	0.064540	9.465226	7.483463	0.014073
40.703321	30.887741	0.042169	7.154593	5.079602	0.014244
67.500682	39.354432	0.054265	9.823429	5.865160	0.014150
49.287464	15.250409	0.070168	10.117287	3.046504	0.014057
16.353517	8.911533	0.033959	5.539498	3.019351	0.013960
31.797419	29.350722	0.079069	7.671117	6.651589	0.014168
50.636597	48.918228	0.059996	7.105496	6.069107	0.014051
54.545213	30.470398	0.089867	7.259383	4.080794	0.014191
10.258920	8.053857	0.110788	5.601587	4.310904	0.014229
54.510783	29.496420	0.060740	9.100403	4.918000	0.014023
21.127121	20.847879	0.046916	6.072529	5.905592	0.014191
58.343343	35.280044	0.085263	9.178975	5.609941	0.013974
45.558667	17.946720	0.057557	7.094316	2.732050	0.014034
37.649144	23.104602	0.119439	6.300790	3.782200	0.014341
29.205606	18.789605	0.100219	7.025106	4.435537	0.013987
27.610248	15.029835	0.096686	5.011842	2.755211	0.014244
40.293891	38.213051	0.034369	6.461826	5.431179	0.014062
42.605943	38.390500	0.098537	7.182627	5.485403	0.014311
29.198157	29.198157	0.059799	5.259410	5.259410	0.014032
47.417151	44.095961	0.081881	7.062072	5.519392	0.014186
21.365853	11.489614	0.050664	5.344567	2.857738	0.014178
48.477410	26.611500	0.029078	7.392867	4.008830	0.014060
28.900300	8.587087	0.083357	7.695728	2.293990	0.014207
31.949639	26.168192	0.037826	5.944193	4.282068	0.014224
19.855620	19.675567	0.039113	4.477937	4.339796	0.014047
27.712072	27.422175	0.094468	4.830474	4.641883	0.014153
44.840655	19.652665	0.030608	9.452979	4.046703	0.014162
32.004166	15.328316	0.053950	5.242020	2.488212	0.014108
49.849802	45.486514	0.065210	9.328904	7.357897	0.013940
27.145145	24.648920	0.078805	7.193801	6.164876	0.014050
37.832685	23.399342	0.038380	6.740117	4.095259	0.013973
42.688437	27.689062	0.039063	7.307425	4.866031	0.013960
49.378840	41.273015	0.116482	9.062622	6.788268	0.014093
42.980367	18.492768	0.096588	6.121138	2.541650	0.014146
35.624111	32.550786	0.075948	6.011704	4.794918	0.014133
48.976317	36.178909	0.063738	9.428398	6.583724	0.013958
61.599410	59.249692	0.089124	8.344666	7.056847	0.014063
23.615725	14.575659	0.099253	7.537239	4.699162	0.014108
26.006263	24.242147	0.024415	5.404339	4.554038	0.014060
17.187155	17.128505	0.062717	3.438760	3.382238	0.014154
27.708896	12.640480	0.088456	4.909694	2.180927	0.014211
67.240451	29.951712	0.084813	9.572894	4.006724	0.014162
43.765685	42.329163	0.072288	7.756953	7.035826	0.014368
37.233268	28.816487	0.097442	8.710581	6.292426	0.013888
20.590720	20.539510	0.049960	4.691492	4.653228	0.014186
51.020236	22.542005	0.087695	11.356173	4.934481	0.014011
34.295701	19.760786	0.077691	5.914002	3.309482	0.013956
46.023605	44.430465	0.034693	7.879261	6.987316	0.014068
29.858779	29.757056	0.036494	3.457274	3.359502	0.013928
44.771602	27.960127	0.088442	8.456099	5.138018	0.014156
32.622195	32.461799	0.071806	4.960379	4.893403	0.014040
26.927789	26.881999	0.059435	4.299614	4.270655	0.014165
37.524715	36.919125	0.022287	7.402976	6.957861	0.014165
31.429235	25.218619	0.049503	6.395596	4.862323	0.014148
33.323953	28.976802	0.051136	7.344927	5.678608	0.013984
37.076702	21.957555	0.081330	9.318981	5.708305	0.014139
19.901586	18.991386	0.080742	3.222585	2.675458	0.013870
26.406606	17.468026	0.078886	7.280701	4.755384	0.014113
48.182940	22.700097	0.033097	7.869156	3.692876	0.013984
48.680984	22.355655	0.073302	6.748417	3.019679	0.014144
26.038482	10.444799	0.069119	6.121430	2.433588	0.014058
46.567080	22.792768	0.063270	5.945333	2.783345	0.014093
14.960760	9.009937	0.060780	3.710251	2.167926	0.014119
57.495273	23.367157	0.090484	9.079861	3.583792	0.014285
48.933834	26.079386	0.026198	5.897508	3.145489	0.014195
28.736267	22.812087	0.026929	5.360013	3.965959	0.014103
31.192055	14.750695	0.041118	5.354544	2.515333	0.014006
58.495192	31.625862	0.084462	9.997991	5.399128	0.013953
44.877338	27.178848	0.030470	10.697234	6.279622	0.014200
50.730935	32.404670	0.040170	8.908628	5.729845	0.014119
42.423176	34.717111	0.091515	9.450157	7.197556	0.013911
23.414197	22.937697	0.075020	5.182244	4.964093	0.014196
41.654472	28.061826	0.051462	9.588355	6.224107	0.013956
38.012489	28.343653	0.115924	7.446753	5.124849	0.013974
35.718852	26.491161	0.045348	7.480106	5.392630	0.014091
26.275596	18.125102	0.072825	4.105059	2.775980	0.014141
38.144891	28.472642	0.108884	8.650314	6.167065	0.013926
45.891255	45.885824	0.120661	6.359929	6.351507	0.014132
51.351126	47.464492	0.050997	8.190527	6.498415	0.014213
42.901446	16.431215	0.064542	7.613682	2.840364	0.014179
34.963652	33.922500	0.048242	6.814424	6.215933	0.013931
57.022061	27.604698	0.096050	6.821490	3.200359	0.014196
40.993895	40.986375	0.079954	6.156899	6.129904	0.013950
15.865080	8.296084	0.046343	4.077298	2.126587	0.014069
32.567929	23.817472	0.101317	6.640265	4.641235	0.014024
35.853209	29.765828	0.103674	7.257168	5.520004	0.014208
