# m1_source	m2_source
36.959	11.772
47.828	16.635
29.580	29.240
27.183	20.495
39.363	37.221
24.364	16.172
41.463	10.550
38.298	28.218
49.083	42.912
46.089	22.999
37.165	25.287
32.052	16.820
47.859	30.133
39.511	21.109
28.503	13.615
45.108	36.414
31.003	15.156
41.303	33.552
48.567	24.569
45.031	42.513
26.072	10.998
44.733	41.552
41.245	23.422
15.686	14.024
40.638	28.227
34.819	30.705
28.883	24.681
21.247	15.970
18.564	11.296
31.739	25.675
34.412	14.428
19.514	13.908
48.172	10.440
28.524	10.199
42.885	23.665
35.070	25.320
46.751	23.722
49.784	43.090
40.450	28.315
46.150	24.711
25.847	24.626
32.867	21.628
41.077	30.959
46.047	41.137
32.975	30.562
25.286	23.172
21.116	20.611
30.308	26.582
40.127	11.602
40.345	20.626
46.045	17.157
32.961	32.218
37.680	35.867
38.972	26.701
44.997	39.358
46.563	21.205
12.098	11.323
33.750	17.471
47.241	29.719
25.668	23.273
44.836	40.500
46.318	35.393
40.373	12.048
25.176	25.027
47.554	36.624
38.070	37.559
23.460	16.161
43.703	38.647
47.403	20.623
30.982	15.292
49.367	17.294
48.589	47.013
43.807	41.573
48.312	15.368
33.584	20.125
48.763	48.284
47.575	24.096
33.173	23.789
28.349	24.168
22.129	15.589
36.086	35.217
40.375	32.651
49.458	15.076
35.879	10.259
34.259	25.940
44.729	25.080
48.304	10.692
49.532	43.330
47.473	13.535
35.566	18.488
32.845	14.524
45.992	14.714
45.610	28.491
48.004	23.338
42.047	31.309
41.807	23.979
48.912	23.237
41.933	22.939
22.463	10.133
46.589	38.638
