# m1_source	m2_source	ecc
4.712374278036522668e+01 3.468287992321889135e+01 6.588709350614239957e-02
4.825392584965275233e+01 2.464375752290777299e+01 5.839403193122294500e-02
3.832310989792176770e+01 2.159738566227833445e+01 9.487746220775902795e-03
4.946635503348342411e+01 1.357110161179956620e+01 4.175423398022280741e-02
2.499300528362397600e+01 1.591619940548288525e+01 3.424125969910975925e-02
4.935226833393363677e+01 4.395620700327252450e+01 3.005435891906141008e-02
4.793312802982011789e+01 1.697174807859881795e+01 1.478695945305781058e-02
4.074213662523148827e+01 3.520031172992196389e+01 6.358498402648918302e-02
4.465139140140121299e+01 4.372655860071035505e+01 5.601475822663292553e-02
3.667579624711852659e+01 2.840429602939011744e+01 2.692371746333148408e-02
3.950982461950523827e+01 2.928179103755791957e+01 3.361126416583631871e-02
2.633747771122249048e+01 1.941291537206780760e+01 8.172362546701689157e-02
4.647541632424117353e+01 2.653200885315720114e+01 1.411049598728372247e-02
2.451373910588594640e+01 2.297777609134594456e+01 6.961071659356664332e-02
4.077953852646048460e+01 2.050098468410310915e+01 7.522259316613717772e-02
4.820937327834445796e+01 2.568502379651734202e+01 5.872132286626501746e-02
3.973266962271176084e+01 3.882675254395468301e+01 9.014241971824143995e-02
3.389961096346120684e+01 2.895091609604583383e+01 5.309019074894282680e-02
4.946628287160248050e+01 1.319857945385518505e+01 2.921398538803193431e-02
3.626694568352562698e+01 2.925964040330830684e+01 6.051343598314098959e-02
4.435934291723281575e+01 3.117023622699711893e+01 6.479766013964509408e-02
4.802936245990753861e+01 2.806597995991828043e+01 3.539613688865364538e-02
3.177731090102815870e+01 1.963738080657297047e+01 1.160045265521099898e-02
4.767153211076326613e+01 3.567260281743915584e+01 6.718217881111444856e-02
3.950870926075518241e+01 1.820974669686519576e+01 7.050169242523571245e-02
4.130187359816026316e+01 3.870845047654034943e+01 3.587750596051885593e-02
3.831237262843763602e+01 2.638969371951952070e+01 8.033417039703176499e-02
1.983600051249369756e+01 1.677783126835920058e+01 7.815872084137828399e-03
3.107190846252670369e+01 1.539998521199860448e+01 4.053753167461915385e-02
3.129514449511176011e+01 2.614854163520047337e+01 1.935767848352429321e-02
3.631481588878400402e+01 2.960155312023621832e+01 4.800671397471864554e-02
4.732409560056574804e+01 3.836935030266886315e+01 4.116237406147107286e-02
2.159172839422729595e+01 1.545716065348620205e+01 4.001163225202472584e-02
2.791322301611278078e+01 2.666362533637736121e+01 1.290182500292445626e-02
4.413339021224515335e+01 1.184279403163795941e+01 2.999835330412605871e-03
4.967539883289758507e+01 1.864993101137803322e+01 8.332374733797208444e-02
3.339656741908273574e+01 1.377390146824362560e+01 7.713518323579757197e-02
4.038468628707643404e+01 2.217013450918999240e+01 5.491498029359105464e-03
3.636539434190034825e+01 1.996914473281140801e+01 5.420439912253956216e-02
2.189516979955838849e+01 1.430959943099572307e+01 3.221619240731086325e-02
4.635225862140421782e+01 2.411482964662538109e+01 5.606810079324451440e-02
1.581662674851670403e+01 1.371604594049806103e+01 8.981305158466065808e-02
4.859417300069228673e+01 4.508565839721890001e+01 5.099604802236960138e-02
3.052338002375203985e+01 2.433062060932151383e+01 8.110744869009094138e-02
4.838190772894903091e+01 1.901409378975752418e+01 9.002871651977245593e-02
2.932211107978189801e+01 1.724119635163161490e+01 1.407750043165639450e-04
4.005212671769298538e+01 2.324057795039870200e+01 9.232922064766480030e-02
4.952093210444250815e+01 3.592722229213654828e+01 6.285107320186114621e-02
3.485848583093765995e+01 2.033155507300035936e+01 5.757944561935943867e-02
2.039960580667766976e+01 1.282372448908368057e+01 1.576770785452982424e-02
2.921748948367574883e+01 2.148795455821598210e+01 6.077365539498062047e-02
4.334124586036654847e+01 3.322851749790847720e+01 3.471890149082225430e-02
2.189431619819645647e+01 1.716322672772067293e+01 2.182562316492399866e-03
4.290170902326757130e+01 3.139963078335294000e+01 4.135777459975811116e-02
3.952833071640697682e+01 3.374710043658646441e+01 6.190377001300774451e-02
3.029295462924470073e+01 2.191111408704250252e+01 6.301465283892659919e-02
4.976323016958019707e+01 4.723836886548052405e+01 2.411477075273210646e-02
4.328517865831569367e+01 3.448050133883656088e+01 7.212510999905379083e-02
4.588535821079639021e+01 2.757586394321505452e+01 3.508585106683967045e-03
3.982210420579490062e+01 3.099002724324605040e+01 2.154942875349868947e-02
4.179396449418411663e+01 1.566031675255526423e+01 5.275086749199032685e-03
4.794044204288726263e+01 2.006830972587087558e+01 1.853309295822507669e-02
3.602029632039646145e+01 1.524870112866984329e+01 2.999870645880558725e-02
4.006010518687059374e+01 2.147866211867873432e+01 6.100558746513756042e-02
