# m1_source	m2_source
32.914	29.957
26.254	24.675
31.508	27.059
31.941	26.914
40.725	32.944
33.919	18.524
31.572	28.848
26.647	20.257
26.238	24.827
27.515	16.379
30.748	22.051
48.184	40.353
40.225	20.322
43.729	41.491
35.244	30.340
45.780	21.146
33.399	29.333
46.680	41.770
39.964	38.515
16.933	12.805
18.739	11.019
44.138	11.823
37.879	23.521
38.731	37.205
46.558	22.355
28.490	19.980
34.728	33.098
38.210	22.350
34.152	33.693
35.687	17.732
31.616	25.469
16.966	13.535
45.818	26.351
23.164	20.673
38.655	33.585
31.864	18.715
28.670	11.781
16.818	16.358
41.364	32.403
24.719	11.056
42.175	39.921
30.099	11.868
43.622	39.396
21.287	9.865
40.661	31.637
45.513	31.674
29.677	14.402
27.516	19.380
20.689	10.568
37.677	31.316
45.876	26.660
19.676	16.405
43.326	10.247
29.977	16.792
31.685	25.413
48.598	37.565
36.291	13.720
27.461	20.448
25.582	21.461
34.740	15.123
21.392	9.658
45.640	35.677
38.837	38.809
24.326	19.032
36.924	9.968
22.661	19.358
25.885	15.566
32.488	16.792
37.383	12.406
35.901	26.931
24.630	12.442
31.351	16.424
20.809	14.841
42.011	10.683
27.618	11.906
44.991	31.936
39.351	14.978
32.577	21.295
35.186	34.493
27.085	17.126
39.103	17.356
47.343	13.311
30.525	24.819
31.281	30.698
23.072	13.081
28.730	20.591
37.677	13.217
43.012	36.758
22.559	18.184
22.089	15.946
42.511	37.341
45.706	43.351
34.077	22.383
41.095	38.644
37.351	14.667
38.486	36.845
38.039	22.013
42.211	31.686
37.294	37.262
28.922	11.861
