# m1_source	m2_source	ecc
3.303470894993444062e+01 3.006694822871180506e+01 3.052269228259852502e-02
2.735581821242494627e+01 2.571074495531276938e+01 1.006369368076075049e-01
3.151146595660640060e+01 2.706183950761871060e+01 5.393906705832693035e-03
3.718700302359724930e+01 3.133444227696963580e+01 1.849919416788779469e-01
4.198456085760362555e+01 3.396288738927887607e+01 8.698297571476065748e-02
3.465211246607137241e+01 1.892422481273712620e+01 7.314379945356490331e-02
3.157323803234623583e+01 2.884928300351889163e+01 3.596050189287226459e-03
2.672567118474675496e+01 2.031703253914469087e+01 2.735919904758695939e-02
3.007593947236931342e+01 2.845870938372075187e+01 1.763708890287027098e-01
2.765400554987539294e+01 1.646144454114665123e+01 3.571063044287309945e-02
3.268644497829303930e+01 2.344056479576300234e+01 1.216815034689574526e-01
4.952727729212317342e+01 4.147817445675066494e+01 8.275626966137433760e-02
4.331381825954506581e+01 2.188268688972438980e+01 1.331610120257431806e-01
4.760763577108060218e+01 4.517150795893377335e+01 1.420846139646648465e-01
3.635965954851264570e+01 3.130098859726043159e+01 8.796712278173146604e-02
4.579027602499331095e+01 2.115110114675060160e+01 7.718585571749552246e-03
3.826227727996229788e+01 3.360396307010763906e+01 1.760435450807464886e-01
4.770430989248430365e+01 4.268676328659547181e+01 7.370316904869946006e-02
4.017274939486975427e+01 3.871633666860358858e+01 3.633046895590182762e-02
1.705632961321514784e+01 1.289816585011669581e+01 4.291553201383496718e-02
1.880393169207462734e+01 1.105747181968300197e+01 2.970374896514381413e-02
4.576825221905441055e+01 1.225969274054523694e+01 9.470118524309678598e-02
3.826228024434585961e+01 2.375940861761099399e+01 5.044345349081658103e-02
4.604357860816752179e+01 4.423016479352885000e+01 1.956610275789669728e-01
4.860623693189975825e+01 2.333875901360833183e+01 1.028852555708406336e-01
2.857336348856342667e+01 2.003866229322395753e+01 2.720009799276099788e-02
3.516444997647874970e+01 3.351416756504519157e+01 5.612563037284921258e-02
4.253622386526723886e+01 2.488032698607251803e+01 1.581867309883462358e-01
3.432315585510735900e+01 3.386220745482543748e+01 3.562479584468235955e-02
3.615277387284780986e+01 1.796332096592121985e+01 5.719400821571982152e-02
3.672231358602706308e+01 2.958290188367944396e+01 1.837379854339361851e-01
1.957206285831074410e+01 1.561364976054932896e+01 1.799820626063480811e-01
4.795732301118943752e+01 2.758171405574926283e+01 1.058085761931816943e-01
2.532067987510245999e+01 2.259705157842052614e+01 1.451690490036996184e-01
4.294720743672944252e+01 3.731466719218975925e+01 1.568645044535482980e-01
3.501638041966232606e+01 2.056681271250410958e+01 1.491349055265755452e-01
2.902539572302668347e+01 1.192704935778357545e+01 5.574297276589244149e-02
1.825372204362265549e+01 1.775387986855449185e+01 1.396606886427602112e-01
4.433710329640030068e+01 3.473196435272379290e+01 1.292176667707988225e-01
2.555781582973212807e+01 1.143088168822820982e+01 9.092227465691354871e-02
4.778486431865123052e+01 4.523079262492079522e+01 1.694852086192566443e-01
3.014678989171164147e+01 1.188715062745418294e+01 2.013436133870169856e-02
4.477041657551905018e+01 4.043336364375737446e+01 8.049016963771417343e-02
2.218440191622503832e+01 1.028114946881671976e+01 1.008090212957691856e-01
4.261040826050885499e+01 3.315385139196256148e+01 1.071203407298754046e-01
4.575407297145265773e+01 3.184219923683488318e+01 3.663657879527162237e-02
3.239729660440733738e+01 1.572190514764199065e+01 1.441893906007179760e-01
2.755428359058802457e+01 1.940771035311160375e+01 1.893006957059563400e-02
2.073663930412176271e+01 1.059161519276807972e+01 2.406235451408980999e-02
4.058382544059664809e+01 3.373193017398889992e+01 1.334597077372101093e-01
4.802280877133009795e+01 2.790773524618557033e+01 1.059267871746534945e-01
1.994358913167768321e+01 1.662862173935354093e+01 5.838588119165760010e-02
4.509306391630320832e+01 1.066457035364017436e+01 9.926897108246481027e-02
3.288427513995591767e+01 1.841997989984802331e+01 1.478199593591229266e-01
3.483695153193897198e+01 2.794167390624998859e+01 1.495064350971482825e-01
4.981908199475665100e+01 3.850935419077106303e+01 7.870724631947073613e-02
3.644765902586210871e+01 1.377926466046139353e+01 3.307709432931570798e-02
2.780336983816642160e+01 2.070214700908569228e+01 5.586235025222850009e-02
2.607929233395539725e+01 2.187813306322424722e+01 6.947702828874907643e-02
3.511566669705442223e+01 1.528593071407666315e+01 5.209786476341470712e-02
2.554604364661904370e+01 1.153398445681228601e+01 1.978466399743135373e-01
4.641731291182643560e+01 3.628452618642913308e+01 6.515359379624739711e-02
3.901875641668786443e+01 3.899021515264809068e+01 3.439805473373026834e-02
2.905761233121208420e+01 2.273309440793943281e+01 1.979597865841395965e-01
3.757077571792118675e+01 1.014274556393608684e+01 6.601911462955581400e-02
2.346825655573876190e+01 2.004763105504649090e+01 9.307861896088129305e-02
2.635724167415463981e+01 1.584973991412860528e+01 6.735792333692529332e-02
3.514903732603408315e+01 1.816734264866997250e+01 1.371156721788236443e-01
3.738285446834870385e+01 1.240608639944629132e+01 4.010687278521780268e-04
3.637690748673112751e+01 2.728806708069177844e+01 5.760128147736459647e-02
2.578499382854784372e+01 1.302607871084574853e+01 1.060420900177949238e-01
3.140836925535510815e+01 1.645434002999826362e+01 2.162501744707742007e-02
2.082596938335657555e+01 1.485303717582709382e+01 1.424687418874207023e-02
4.964220365300799642e+01 1.262406839716088847e+01 1.926704026621510468e-01
2.761916613806251419e+01 1.190673601406495052e+01 2.489946385827146100e-03
4.515002995171834499e+01 3.204933813358182704e+01 2.994337386563715800e-02
3.943857765347738109e+01 1.501162702113416358e+01 2.370913773931507262e-02
3.294786624931500540e+01 2.153728471430226676e+01 5.348588849828198738e-02
3.815590854006524069e+01 3.740378919490045462e+01 1.389635827692227987e-01
3.120248377439258292e+01 1.972967645900150302e+01 1.792111257927369306e-01
4.053312437629141129e+01 1.799069241453167223e+01 9.425414149249872198e-02
4.855801084703377768e+01 1.365252907742905109e+01 7.950809747829806762e-02
3.088693216513936690e+01 2.511387515462443076e+01 5.455121249326858046e-02
3.231457917736705099e+01 3.171262661686510498e+01 8.980126212414740738e-02
2.325048622643333118e+01 1.318247650526913262e+01 4.419821838687442578e-02
3.216360307873512170e+01 2.305217965627149823e+01 1.619248470365286519e-01
4.077959246298387086e+01 1.430528268932200575e+01 1.374296601072087787e-01
4.353883711209869745e+01 3.720875653095767177e+01 5.542597966350864408e-02
2.284467723181572296e+01 1.841438989875732801e+01 5.633495915045562408e-02
2.343090261354664960e+01 1.691469855172533343e+01 1.196424461345689666e-01
4.327333255674997758e+01 3.801105290232881373e+01 6.681078300880716192e-02
4.614495505925707164e+01 4.376757575397567734e+01 4.916949195158595853e-02
3.419809183093847338e+01 2.246306408603894056e+01 3.003099214699704936e-02
4.743678712919766838e+01 4.460789191308187895e+01 1.803319184747015358e-01
3.839458144300034803e+01 1.507622801247942768e+01 8.282683885545487346e-02
3.848596653106030629e+01 3.684517027961805979e+01 2.498020297554592504e-04
3.851114104735660959e+01 2.228557068436019506e+01 5.575272457933130865e-02
4.739546864094248946e+01 3.557820248032108879e+01 1.638318546520401431e-01
4.085922451202371519e+01 4.082380069942107070e+01 1.468938774906708433e-01
3.307493817391382152e+01 1.356358367669247222e+01 1.750199240777141618e-01
