# m1_source	m2_source	ecc
4.083255444127821221e+01 1.663563215990825483e+01 2.936177786589706101e-02
4.849128815060881692e+01 4.307185395324759014e+01 1.709880083290299391e-02
3.135385617166883065e+01 1.353121398940470677e+01 9.915867628071638185e-02
3.620275810439650144e+01 1.623187247175426506e+01 4.224125315262282354e-02
2.966052251836357101e+01 2.707744403512649711e+01 8.469329124773293527e-03
2.368139904866914236e+01 2.285694511729023404e+01 1.958220011739938426e-01
4.555680096913209098e+01 4.211612336159650027e+01 4.362205351259898500e-02
3.420250319862199717e+01 2.223643142584943888e+01 2.212540679666638588e-02
3.945067264364809034e+01 3.269187780630227991e+01 9.352795194656500499e-02
4.704343127878588149e+01 1.677832058490504608e+01 3.845489097750851015e-02
2.754091227958437571e+01 1.729790677917162967e+01 3.060975690960169443e-02
1.130676198369261698e+01 1.017573193851437274e+01 9.089151600091877059e-02
4.130518873814921221e+01 3.649049664250020442e+01 1.360403544027476985e-01
3.990498429473219488e+01 1.049569773181623056e+01 2.871795288232702800e-03
3.180947739054587231e+01 3.153657556142463392e+01 5.095740674649777008e-02
3.803165162562750368e+01 2.441189006931995209e+01 1.240534141233850945e-01
3.801418940182794159e+01 2.347311422043772211e+01 1.717163617366203876e-01
3.271053740934808474e+01 2.037249597070923812e+01 1.182645983426784952e-01
1.256082025520954915e+01 1.018214100761677621e+01 1.803463517574483976e-01
4.734594720715206506e+01 3.598851397834203425e+01 3.371505842114452811e-02
3.620879839544015510e+01 1.094104529707063023e+01 1.911148923370508956e-01
3.637755412141737565e+01 3.340709334683728571e+01 6.372981658606051425e-02
3.214219431304987751e+01 2.099873331163347956e+01 7.188566276363290986e-02
4.925214192736851260e+01 4.276792314305194509e+01 1.608937992135888451e-01
4.103838172065661638e+01 4.027307197408207173e+01 9.340605475868493657e-02
4.666670166243491025e+01 3.929546819465964802e+01 1.699923567229925658e-01
3.801244764241675966e+01 1.012176205928801487e+01 9.611612973804922744e-02
4.666248406391431303e+01 2.359047584920108775e+01 1.408281811760751234e-01
4.197844071524429665e+01 1.223883681000561019e+01 5.740057428772524228e-03
4.793684755868942204e+01 1.635416351508239075e+01 1.368012033796404681e-01
4.359364233323556448e+01 1.465426805008422484e+01 1.187839551147113898e-01
3.541484758208073202e+01 1.092001273478104295e+01 1.090672851307551705e-01
4.175311668240963314e+01 1.525289974883277289e+01 1.499188914676362616e-01
