# m1_source	m2_source
3.433316708250994509e+01	3.070108909655861140e+01
3.670105669276332350e+01	2.057434108462177846e+01
2.378710720665667466e+01	2.204880822569575827e+01
3.553266853102497436e+01	2.612855078818805410e+01
4.790086866530126031e+01	1.693265062109801278e+01
3.286469261980418821e+01	1.925337922847359096e+01
4.581782283935651634e+01	4.136060742638237286e+01
4.827265179771441694e+01	3.582729397997965748e+01
4.021698941633945878e+01	3.002137037674819098e+01
4.658610529757230978e+01	3.972994648980434107e+01
4.987933602002062372e+01	2.800167531260059661e+01
3.227733241675823450e+01	2.108962871462729183e+01
3.882113893186124898e+01	2.287602874578211143e+01
3.265757169427232753e+01	1.800905805561841433e+01
3.360470310781654035e+01	2.406556099333874954e+01
3.373640578244096844e+01	2.288425692426035241e+01
4.011939990005681977e+01	3.508176580124875699e+01
4.109104179915013333e+01	2.579341254459501798e+01
4.493507345046057821e+01	2.455290883298025761e+01
3.841500439274645373e+01	2.967815905069790716e+01
4.154759542956471563e+01	3.804776593871103074e+01
4.635696717381700438e+01	1.037624097875468365e+01
3.137171968299529468e+01	1.713350828991233499e+01
4.353288437334269645e+01	3.594589046752716399e+01
4.590407033591532837e+01	4.239387584600456904e+01
4.901497190649548941e+01	4.682894288811344552e+01
4.022475581824462409e+01	3.794090565636891910e+01
4.240323667086507697e+01	2.412512802545185764e+01
3.127014229194525541e+01	3.085226712198843657e+01
3.889672634316726629e+01	3.610346826508514084e+01
4.254215470266274224e+01	1.698416697558623412e+01
3.703363707323003240e+01	3.375965856071333349e+01
3.947995579231315588e+01	2.452951485608193138e+01
2.371770556481830639e+01	2.092546663386485051e+01
2.282732920524108877e+01	1.192195606492862581e+01
4.539061294003276004e+01	3.367895294402561746e+01
4.654186329761341057e+01	4.627419506823836315e+01
4.587580841338366611e+01	3.048356035123777730e+01
4.254866948238703372e+01	3.914387062904231840e+01
3.547442277939392596e+01	3.394420308990004997e+01
1.551246846139607349e+01	1.453770022900778258e+01
4.494227748307374526e+01	3.627586626304674411e+01
4.264550241267873076e+01	3.133990070414411377e+01
4.135490219053141203e+01	3.768263347213978420e+01
3.746640012227177863e+01	3.226806950469528346e+01
2.819090844987480793e+01	2.777526646745214123e+01
4.518307262930898816e+01	2.397631151487195922e+01
1.530197276060696154e+01	1.472186055426180573e+01
1.365771764193205584e+01	1.184391533895665916e+01
3.069369605956960356e+01	2.375249833356898321e+01
3.425226973482043746e+01	3.234660035591269178e+01
3.948907486726029958e+01	3.822783264632857225e+01
4.235669791815956131e+01	1.989668187284594580e+01
3.416849552704140081e+01	2.156992157645904484e+01
4.195798660445198180e+01	3.213079740061429845e+01
3.053432712253231074e+01	1.820403814650368801e+01
4.580393382897212007e+01	4.512295488548719646e+01
3.185890462772205467e+01	1.969979389015559690e+01
3.508376184437120315e+01	2.966393889536645290e+01
4.716255090152290563e+01	3.821534563471600876e+01
3.808411461591597913e+01	3.750840491735095839e+01
4.497574378047682586e+01	4.106821888511532137e+01
3.713044200809220285e+01	3.561011271458504979e+01
3.822326533824778494e+01	2.115251245139948466e+01
3.871497447722498464e+01	2.343124176051739838e+01
3.704876209898674233e+01	2.957390442288156152e+01
4.768171018295495855e+01	3.759082783367566805e+01
3.896506813808152003e+01	3.608236476048674746e+01
4.503522176420366208e+01	4.469133207634543226e+01
3.381302592973992205e+01	3.339486046478342729e+01
4.105222167229592856e+01	1.502600984755510005e+01
4.165416546526886066e+01	1.269015026458527906e+01
2.485605307804075537e+01	2.106525579795934888e+01
4.906818028295894152e+01	4.179459894194253167e+01
4.760991182312277914e+01	3.745506835636323473e+01
1.981138867004592541e+01	1.623567199674516814e+01
4.491537451877157849e+01	3.519847782914892065e+01
3.694239777146802339e+01	3.280033088811013187e+01
3.596670064731214467e+01	3.132589375764763773e+01
4.671718226352653147e+01	3.673088488305396027e+01
4.980145098830378458e+01	4.827723074510726065e+01
4.900072708862749238e+01	3.318578538366241304e+01
3.276379112395807880e+01	2.870091585530895983e+01
3.601480584731852730e+01	3.207425970552026939e+01
3.880411448973469390e+01	2.983949323339631832e+01
4.470956989596301412e+01	3.526116173731774950e+01
2.816485772390532816e+01	2.477783612405915292e+01
2.912449070575771159e+01	2.772580002409745248e+01
3.762754199775720565e+01	3.631505865970506619e+01
4.415834525494521756e+01	3.616855063403784243e+01
4.236530030623177367e+01	3.235424746842623023e+01
3.323575219450433593e+01	2.152358477092967348e+01
3.543211922987478601e+01	2.802908715467574652e+01
4.917967894703318166e+01	4.209987067638834191e+01
2.916200463564696221e+01	2.739591267373119265e+01
2.895915529925165188e+01	1.937202228099813439e+01
3.099487415084582764e+01	1.886494422799123782e+01
3.334136720301134460e+01	2.874607767496903676e+01
4.492814490751113965e+01	2.114503719575432683e+01
4.651736452327165949e+01	2.955062656866551762e+01
