# m1_source	m2_source	ecc
3.574949499664523955e+01	3.196758482581400074e+01	9.979927751297160143e-02
4.172877774966301700e+01	2.339284434377687205e+01	1.716010985641569508e-01
2.378728307749506499e+01	2.204897124435769484e+01	1.372474015329692640e-03
3.562779627940631855e+01	2.619850191507225290e+01	2.607029168877717656e-02
4.920559237836911848e+01	1.739386210652652665e+01	8.182738114713400401e-02
3.488445365157910061e+01	2.043663158824835335e+01	1.202691810977530307e-01
4.795789502030040552e+01	4.329249069483200429e+01	1.058262884169973578e-01
4.876556334571500884e+01	3.619312610808288611e+01	5.066106964685679337e-02
4.031735532180206150e+01	3.009629199730754578e+01	2.517369358115507244e-02
4.679862887916800673e+01	3.991119260322560081e+01	3.398897337550629144e-02
4.990556447572421916e+01	2.801639966058045417e+01	1.157054982163541537e-02
3.730678801621662899e+01	2.437581574705411214e+01	1.810514902708909024e-01
4.455648521581034061e+01	2.625568091644406366e+01	1.771071012022893409e-01
3.311279673779747412e+01	1.826009246546259845e+01	5.904680424866300126e-02
3.971818588098658154e+01	2.844365033658986874e+01	1.927882490516026892e-01
3.954053157224610260e+01	2.682134218020536309e+01	1.885131929292694630e-01
4.644316748908285319e+01	4.061148294787597735e+01	1.819101822240767330e-01
4.120031031587169679e+01	2.586200189659323456e+01	2.598276352598039018e-02
4.772328408967739932e+01	2.607641099677018914e+01	1.208032471696342675e-01
4.027585987257199207e+01	3.111579431258670070e+01	1.076529866931276863e-01
4.955087025836782999e+01	4.537687185401498624e+01	1.972132824504225779e-01
4.983410411845900256e+01	1.115454061855757217e+01	1.317578799781158050e-01
3.469181067633343218e+01	1.894675943242002703e+01	1.536112284369553216e-01
4.357741057007098817e+01	3.598265655398273566e+01	1.613181676404068857e-02
4.626286161329710467e+01	4.272523105604684446e+01	4.439379649358785734e-02
4.908623229277728228e+01	4.689702511747269398e+01	1.922734343553442540e-02
4.034334428750948121e+01	3.805276100098906511e+01	2.735284548773304902e-02
4.627966673718020019e+01	2.633060522422002592e+01	1.440098588149862913e-01
3.137433399390413413e+01	3.095506646938884643e+01	2.907159631726011911e-02
3.920992665583094094e+01	3.639417698563673298e+01	4.505196998469076369e-02
4.296324681842034465e+01	1.715228020013060473e+01	4.988945991163745708e-02
4.342906625965314049e+01	3.958969640592769679e+01	1.887999825144116295e-01
4.417946971577753601e+01	2.744939645899973613e+01	1.616438276384644657e-01
2.814739011652989475e+01	2.483365311640909923e+01	1.948159218659434033e-01
2.301821750432890923e+01	1.202165068511710722e+01	4.590207621013707440e-02
4.787009720454786077e+01	3.551868209640299767e+01	1.138739743997518039e-01
4.937434419854335488e+01	4.909038600796407792e+01	1.197272113792715864e-01
4.589033342233751966e+01	3.049321193019322962e+01	8.979555832075658550e-03
4.346224097269196562e+01	3.998433696234754109e+01	7.292307127977257220e-02
3.794210625419685812e+01	3.630544091894675063e+01	1.273119671891775606e-01
1.567865302812947093e+01	1.469344213558247780e+01	5.187422956238277316e-02
4.644864491366806192e+01	3.749175443150525666e+01	9.040454350259206906e-02
4.656367350762324975e+01	3.421933900619823987e+01	1.443311800396495370e-01
4.432233473982750382e+01	4.038656135457652141e+01	1.291280449014934051e-01
4.410124523859458634e+01	3.798235330745447413e+01	1.907198469200935831e-01
3.374621340111622914e+01	3.324866494281670271e+01	1.989858211831472268e-01
4.695185577527858811e+01	2.491491292558064430e+01	9.734985324612877022e-02
1.666645186135198387e+01	1.603461096655413343e+01	1.424218896401535650e-01
1.419297839220027413e+01	1.230809121201610523e+01	9.740187094953546565e-02
3.675426574349772579e+01	2.844250604846260444e+01	1.991414597769118888e-01
3.513587167871960304e+01	3.318104196151403329e+01	7.970765016878497700e-02
3.986172751418346394e+01	3.858858313414516772e+01	4.872768468167942846e-02
4.869281062412333227e+01	2.287301442512947247e+01	1.780250582021359051e-01
3.544929115597761182e+01	2.237846350508336712e+01	9.536180763156498763e-02
4.232723512219976669e+01	3.241356238231082898e+01	4.707568240242251262e-02
3.254744449017199059e+01	1.940422393107461829e+01	1.242225408266108277e-01
4.601301365534018828e+01	4.532892626794309621e+01	3.399903410603034859e-02
3.277060300900298273e+01	2.026353801165293689e+01	8.379808307444552851e-02
4.132371126874256362e+01	3.493992609582188891e+01	1.910525555887921945e-01
4.725268659029466534e+01	3.828838168629914662e+01	2.203825292419875695e-02
4.206998521247734146e+01	4.143402193094713937e+01	1.528657364774385075e-01
4.860823428032973936e+01	4.438511600357537645e+01	1.362393586500702802e-01
4.407153842482449591e+01	4.226700157437213790e+01	1.948867896703279645e-01
3.882047838243730098e+01	2.148300635979710904e+01	6.244476760763217199e-02
4.169567459451497626e+01	2.523523378187105237e+01	1.333256199080116999e-01
4.057156205065886212e+01	3.238595381857600586e+01	1.465450994183521150e-01
4.824086063506906186e+01	3.803164525188263667e+01	5.423695532570550759e-02
4.611812958380231464e+01	4.270623030395349673e+01	1.934850576647443310e-01
4.535890691651451334e+01	4.501254556355434744e+01	4.258853631848433935e-02
3.382093564564693366e+01	3.340267236128684658e+01	7.718819295938809076e-03
4.742563902217454341e+01	1.735881981400042307e+01	1.807791994545157321e-01
4.346620659819377153e+01	1.324219767702473227e+01	1.023376106627829768e-01
2.513816889886685502e+01	2.130434612785582260e+01	5.337184390358740149e-02
4.993352990594964780e+01	4.253167417540127815e+01	6.625510849848924300e-02
4.919980058625186814e+01	3.870584555845610453e+01	9.024467034525227027e-02
2.057699328943342110e+01	1.686309421770043926e+01	9.675426282058471883e-02
4.900067979473926272e+01	3.839997684195034822e+01	1.436852089146542499e-01
3.694252710273340057e+01	3.280044571845559886e+01	9.444269664885707617e-04
3.935060438970774754e+01	3.427317018869588594e+01	1.458595991958920868e-01
4.676587688987764579e+01	3.676917051220078747e+01	1.628473732840792984e-02
4.991373475995150955e+01	4.838607796632660296e+01	2.393126754011076773e-02
4.910776926393513264e+01	3.325827979074202290e+01	2.355725368384502250e-02
3.281679033712278937e+01	2.874734289886087524e+01	2.027915613515579238e-02
3.628584322620145741e+01	3.231564163374859788e+01	4.356967975034815865e-02
3.904195746312674231e+01	3.002238914246339263e+01	3.935662418681580565e-02
4.785711006365747977e+01	3.774353683477535526e+01	1.280096417430794664e-01
2.941329688655135044e+01	2.587614172482366115e+01	1.032482992421676765e-01
3.464265882872884816e+01	3.297896058311113165e+01	1.959282159151817526e-01
3.763611197288934562e+01	3.632332970620750245e+01	7.616423623171775237e-03
4.855937334684038831e+01	3.977327826738835626e+01	1.496198211097266306e-01
4.904075966947759468e+01	3.745227492586663942e+01	1.818842750923228557e-01
3.562362712231034578e+01	2.306998059583020932e+01	1.292028835295037648e-01
3.563679738389104301e+01	2.819100075008786277e+01	3.821643676433523346e-02
4.918915276498998423e+01	4.210798066245032345e+01	7.004773136852469190e-03
2.932033778066585938e+01	2.754465694109176610e+01	3.705869682450482067e-02
3.460155393931661649e+01	2.314646497603201425e+01	1.981018345419135185e-01
