# m1_source	m2_source	ecc
3.262261573556813943e+01	3.053702222613776840e+01	4.525474716021814919e-02
3.461213894350343878e+01	2.823315723296259705e+01	5.098276575414074224e-02
3.984588267304321363e+01	3.207489253447632649e+01	4.623687685079014981e-02
3.895107737138778958e+01	3.374634593670294436e+01	2.056779001246005281e-02
3.483552551010649978e+01	2.874001015949664506e+01	6.026911292076785054e-02
4.037654765222884379e+01	3.347851894221931701e+01	8.855062479962816369e-02
3.819941758647269126e+01	3.310566143499640646e+01	2.211114562188765120e-02
3.997060078200806288e+01	3.281620079130995293e+01	5.795009494850105608e-02
2.873615603002506091e+01	2.203403727078825014e+01	3.111206058560155724e-02
4.345623724113843167e+01	3.799901009946413666e+01	7.340200150567431636e-02
4.198912285433709712e+01	3.276042705919719822e+01	4.222487314608724257e-02
4.139777638146941996e+01	3.421030702549859370e+01	6.470041539537541020e-02
3.754291064447059512e+01	3.511442917152504606e+01	6.389097063413376465e-02
4.083410609291457405e+01	3.110600734167444870e+01	5.471518113496625507e-02
3.725571399956292851e+01	3.006267692814417103e+01	6.021087911488108568e-02
3.050046629045104041e+01	2.682840900540228191e+01	4.317386797238575991e-02
3.486500029474300533e+01	3.221309860328383223e+01	7.423574103453581263e-02
3.751754875247924303e+01	3.634639184051861349e+01	3.471197050773452281e-02
4.006612868429986207e+01	3.420554249716936823e+01	7.850819009063314535e-02
3.258463645370800066e+01	2.977209879351036648e+01	4.910496841706549209e-02
3.221372681081543732e+01	2.837850379280745372e+01	3.561226775413141310e-02
4.120756549978787575e+01	3.486401396748061643e+01	9.567024159466530620e-02
2.813688128417045320e+01	2.656361394285011812e+01	8.558010033964674745e-02
3.786305531999721552e+01	3.192870292028063162e+01	3.606890759028116150e-02
4.359416732504362102e+01	3.477305373128179866e+01	9.700944515220810693e-02
3.643073971518319354e+01	3.167540019655956485e+01	7.653525752767559309e-02
3.803352861452206923e+01	3.563979977254758325e+01	9.362638198631847986e-02
4.636212429279247971e+01	3.603905706923712415e+01	9.146545557398555459e-02
4.281907259277453193e+01	3.381777248393149193e+01	2.235697429371847483e-02
3.789729706862353709e+01	3.007719934629835379e+01	8.269677073252351684e-02
3.524337543041615817e+01	3.317068715509079624e+01	8.108610657998280291e-02
3.443881638864444739e+01	2.919229820063678815e+01	1.439250383747414999e-02
3.949735059909178858e+01	3.771750490813946044e+01	9.787008155727533465e-02
4.532099519891902162e+01	3.298370870636838248e+01	6.604052184611422516e-02
4.152218791691792177e+01	3.090662337861870057e+01	9.842776705331757192e-02
4.045859027867327740e+01	3.650763723764757884e+01	5.968480706797218982e-02
3.901783071488629417e+01	3.190107937534530436e+01	3.663031488594181706e-02
3.957407384273188455e+01	2.930819194343176903e+01	2.642744857145325893e-02
3.896031194135264286e+01	3.368073979276195473e+01	1.014324272723220732e-01
4.392594907513473146e+01	2.993710390748025674e+01	5.386257565798205360e-02
4.319682931030928330e+01	3.531455161347417970e+01	5.507044412932105698e-02
4.170019556074998945e+01	3.490021456363096775e+01	2.192275843009240319e-02
3.717675800633686833e+01	3.188380369965804562e+01	6.169699635498738371e-02
4.047198242508354582e+01	3.259273213064005859e+01	2.689966524245326202e-02
3.627590955233896608e+01	3.205832806870590446e+01	5.691842569879873581e-02
3.948088879080196278e+01	3.852654252631686660e+01	2.443031987386549975e-02
