# m1_source	m2_source	ecc
2.968367988883532860e+01	2.938633756832781074e+01	6.372907667026560252e-02
4.242008244857847643e+01	3.143147574174231096e+01	6.848288539129444852e-02
4.391710061341380111e+01	2.674226635681075592e+01	6.218868439773822532e-02
3.435717165453201005e+01	2.459265869788243108e+01	4.200070737367746221e-02
3.599826704170367719e+01	3.206499459639545080e+01	6.828526530035747277e-02
4.230908245393897715e+01	2.732992479676281405e+01	8.165077359875778928e-02
4.162034278684676281e+01	3.274833423410863986e+01	5.091725984559947182e-02
3.789600907912313943e+01	2.574429585403151677e+01	5.304954850031643604e-02
3.544485901286432750e+01	3.013734679188797827e+01	6.795264127062254633e-02
3.904690828472372033e+01	2.472676558558099202e+01	8.173522762261303809e-02
3.432627896057815775e+01	3.127597117624000589e+01	8.179297369733790068e-02
4.643200939259929072e+01	2.812467209897254605e+01	6.864934189790597441e-02
3.828399192974680432e+01	2.691165024529520622e+01	5.651010292820790593e-02
3.279593740240171229e+01	2.600818342025696595e+01	4.669759212026523831e-02
2.908201671802559929e+01	2.763540286826401626e+01	6.341462879273965236e-02
3.844687153981623595e+01	2.673443916103085627e+01	2.712293384712288757e-02
3.628789467688124404e+01	2.881601752684586870e+01	6.483152835906001721e-02
3.742957137954737590e+01	3.135018185489183296e+01	7.651658568829575180e-02
4.478768008623378449e+01	2.813339205720834713e+01	7.086712180362404745e-02
3.645242345879325541e+01	3.210578458167088201e+01	6.254375348766215426e-02
3.228462937247968512e+01	2.686902138442836119e+01	7.542225762164084246e-02
4.350988619973567495e+01	2.874991965153907358e+01	5.571541018946130075e-02
4.571984873026805474e+01	3.199131034502895332e+01	3.196150211156455201e-02
4.287555432303998515e+01	2.820468225928599537e+01	5.803243512306026364e-02
3.573984594834400497e+01	2.992350377434875242e+01	3.203202327946463868e-02
3.864203791246549713e+01	2.965596892147291186e+01	7.139471825509917380e-02
3.645892157029143021e+01	2.593693871589859867e+01	5.128579785201766578e-02
4.282525818363159686e+01	3.255765349853235335e+01	4.534754100628930751e-02
4.067669090665874876e+01	2.632795196088144607e+01	5.519857416675105766e-02
3.655847314096224210e+01	2.687652478053853855e+01	4.727888016049125453e-02
3.478074592910074614e+01	2.924679323346940407e+01	7.367017968027884944e-02
3.917142504621170218e+01	3.378159314534374147e+01	6.369338094205154177e-02
3.621776975630994144e+01	2.652847374694770721e+01	3.324866285664834081e-02
3.838992737799742372e+01	3.738882694298461473e+01	3.843847486732086816e-02
3.274289048883900932e+01	2.367050281682770674e+01	2.869968863779367996e-02
3.978656241905997604e+01	2.941851191900689955e+01	4.080248467593008965e-02
3.908306878691031727e+01	3.468260231404637750e+01	3.858207322758218372e-02
3.430021100540153611e+01	2.944319877529029839e+01	3.256403477112035372e-02
3.130128515162359193e+01	2.802590068226652775e+01	6.702531301615054227e-02
3.051736079729639428e+01	2.798383768839758545e+01	5.386810617779339005e-02
3.707602808949717144e+01	2.751092221408633520e+01	5.801480713129167355e-02
3.156478178861963357e+01	2.833695963500009896e+01	5.845415348946145229e-02
3.351126614813471605e+01	2.647471359097264809e+01	2.998096829341128852e-02
3.818912163805693183e+01	2.507533372949266948e+01	5.095834048411913841e-02
2.804780249379076906e+01	2.421042434322412618e+01	2.992238605548550034e-02
3.649309330666098106e+01	2.279573687156875295e+01	4.787102873493268018e-02
3.861667165641357258e+01	2.428389888640529648e+01	6.055991109752970059e-02
3.325518405598260330e+01	3.086713594288884366e+01	5.580384144867339691e-02
